,,,hybrid,,,density maxMNAE,,,density meanMNAE,,,IP / eV,,
,year,type,exchange,correlation,XYG3-type,RHO,GRD,LR,RHO,GRD,LR,RMSE,MAE,MaxE
functional,,,,,,,,,,,,,,
CCSD,,WFT,,,,0,0,0,0,0,0,0.017,0.016,0.023
MP4(SDQ),,WFT,,,,0.246,0.233,0.162,0.077,0.067,0.061,0.222,0.219,0.270
MP3,,WFT,,,,0.881,0.967,0.718,0.339,0.254,0.149,0.481,0.469,0.621
MP2,,WFT,,,,1.414,1.512,1.114,0.590,0.406,0.232,1.005,0.973,1.335
HF,,WFT,,,,2.526,2.052,1.461,1.100,0.643,0.344,2.797,2.729,3.595
Slater,1974,LDA,,,,4.864,4.173,3.473,1.971,2.353,1.562,4.934,4.793,6.479
SVWN,1980,LDA,,,,3.725,3.983,3.349,1.591,2.100,1.402,1.885,1.718,2.882
SVWN1RPA,1980,LDA,,,,3.631,3.976,3.346,1.557,2.085,1.394,1.016,0.810,1.814
VWN1RPA,1980,LDA,exact,,,3.650,2.211,1.707,1.014,0.821,0.478,1.379,1.368,1.578
VWN5,1980,LDA,exact,,,3.540,2.203,1.694,1.020,0.808,0.469,0.410,0.348,0.627
PZ81,1981,LDA,exact,,,3.495,2.204,1.696,1.021,0.809,0.470,0.409,0.346,0.638
SPZ81,1981,LDA,,,,3.764,3.984,3.346,1.597,2.100,1.401,1.902,1.729,2.914
BP86,1986,GGA,,,,2.474,2.096,2.470,0.981,1.115,1.257,0.879,0.806,1.291
OP86,1986,GGA,,,,2.107,2.379,1.953,1.079,0.934,0.755,0.925,0.832,1.397
P86,1986,GGA,exact,,,3.650,2.294,1.659,1.220,0.830,0.467,1.471,1.355,2.169
SP86,1986,GGA,,,,3.709,3.820,3.277,1.753,2.193,1.468,3.608,3.425,5.061
BC,1988,mGGA,exact,,,3.441,2.138,1.541,1.019,0.718,0.389,1.182,1.115,1.694
Becke,1988,GGA,,,,3.716,2.001,2.426,1.163,1.186,1.319,2.212,2.179,2.713
BLYP,1988,GGA,,,,3.458,2.050,2.455,1.055,1.196,1.330,0.332,0.274,0.569
BPZ81,1988,GGA,,,,2.956,2.087,2.608,0.927,1.242,1.399,0.893,0.892,0.921
BVWN,1988,GGA,,,,2.929,2.086,2.607,0.923,1.241,1.398,0.904,0.904,0.929
BVWN1RPA,1988,GGA,,,,2.870,2.094,2.616,0.915,1.246,1.403,1.925,1.924,1.968
LYP,1988,GGA,exact,,,2.786,2.021,1.496,0.984,0.633,0.367,0.922,0.826,1.450
SLYP,1988,GGA,,,,4.428,4.180,3.497,1.824,2.301,1.526,3.048,2.889,4.334
