,information,information,information,information,information,density maxMNAE,density maxMNAE,density maxMNAE,density meanMNAE,density meanMNAE,density meanMNAE,IP,IP,IP
,year,type,hybrid ex,hybrid corr,XYG3-type,RHO,GRD,LR,RHO,GRD,LR,RMSE,MAE,MaxE
functional,,,,,,,,,,,,,,
CCSD,0,WFT,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01709605945188354,0.01573789747595337,0.02299487104399134
MP4(SDQ),0,WFT,,,,0.245539,0.233093,0.16164,0.07653164285714287,0.06682428571428571,0.06061835714285714,0.2224410156074777,0.2189174777399039,0.26983070644155305
MP3,0,WFT,,,,0.881324,0.967352,0.71842,0.3391004285714286,0.2535061428571429,0.14877614285714283,0.4809934517316739,0.4685819465468472,0.621211337035902
MP2,0,WFT,,,,1.413851532,1.51179649,1.114342622,0.590162298142857,0.40604759042857147,0.2323729087142857,1.0048636179934263,0.9726342819375873,1.3348402816637304
HF,0,WFT,,,,2.526158527,2.052249295,1.460902526,1.1003082719285713,0.6426922124285713,0.34432779599999996,2.7965261913247783,2.729346320273745,3.594776658259491
Slater,1974,LDA,,,,4.864004385430373,4.173124660159213,3.473472318232977,1.971087086512863,2.3531273032012137,1.5618312950241913,4.933850018094268,4.792929390073909,6.478653865711522
SVWN,1980,LDA,,,,3.7251312351239,3.983243849965701,3.3490781819296798,1.5906164293688339,2.100240209823556,1.402465416142448,1.8854538180680323,1.718071995388943,2.882352068913235
SVWN1RPA,1980,LDA,,,,3.631282557438367,3.9759362121859527,3.345895039031608,1.5570111723105204,2.084710833456602,1.3936291655962454,1.0157485468054879,0.8099390660497505,1.813514199070255
VWN1RPA,1980,LDA,exact,,,3.650340810305184,2.2107741789951434,1.7071102222577328,1.0135925294277148,0.821209063207917,0.4779477423443192,1.3792432512322894,1.36752597907545,1.5779317890266782
VWN5,1980,LDA,exact,,,3.539820926547149,2.2025675822367465,1.694459112222933,1.019636759552537,0.8078639180539593,0.46910490367951013,0.4102529438685391,0.3479125714017132,0.6272237356666395
PZ81,1981,LDA,exact,,,3.494538839922347,2.204207404591114,1.6955307270984654,1.0208521672644346,0.8086106552065363,0.4700848931420878,0.40898372125088595,0.346259672598503,0.6383589781980774
SPZ81,1981,LDA,,,,3.764321989614936,3.983683202357714,3.3458021116299883,1.597061248015173,2.0997782228236863,1.401279275073012,1.9021054127507189,1.7294842343112613,2.9141378784843255
BP86,1986,GGA,,,,2.474340518097383,2.0960901245100017,2.46987248680094,0.9811026035346322,1.114503045447749,1.2566322767326077,0.8788504141340303,0.8063648334300227,1.2912416679496346
OP86,1986,GGA,,,,2.1066953980666048,2.3791175721180875,1.9532654389222108,1.0791969363087148,0.9337632396531438,0.7554693677180399,0.9251550156321497,0.8318882326047069,1.3971044298578477
P86,1986,GGA,exact,,,3.650008953717273,2.293808126821681,1.6590031558320633,1.220315642558608,0.8298165156661259,0.4673738595405104,1.4708809702862216,1.3546334419631876,2.168802130443794
SP86,1986,GGA,,,,3.708822326454305,3.820440052124487,3.2774972063558008,1.7532986627670868,2.1927931169097206,1.4675644165421644,3.6080228840195825,3.4245849941302153,5.060732446601946
BC,1988,mGGA,exact,,,3.440766622716791,2.13778679718146,1.5414290859654904,1.0187413049089564,0.7175243669507557,0.3892563474154532,1.1817872658306519,1.1150096329383044,1.6937951508986089
Becke,1988,GGA,,,,3.716000880332646,2.001388193559738,2.4257776522365755,1.1630848736656134,1.18571558967442,1.3194214553969215,2.212435121732754,2.1787539069316977,2.7133901193498104
BLYP,1988,GGA,,,,3.458304355327244,2.0498774370327544,2.454590250498549,1.0547190424942008,1.1958428061375013,1.32972552720787,0.33178481080829964,0.2736555387143511,0.5686484269222092
BPZ81,1988,GGA,,,,2.955854151731597,2.086839695533913,2.6077529225177507,0.9270980963098624,1.241611131033574,1.3991508285624943,0.89259209127801,0.8922712227967248,0.9213644851082279
BVWN,1988,GGA,,,,2.9286642750696106,2.085574487016604,2.606501046163006,0.9227285331255972,1.2407317402526996,1.3984081546600844,0.9042806645313296,0.9039343617694952,0.9292147485761859
BVWN1RPA,1988,GGA,,,,2.8695720933641957,2.093730247513686,2.615990998673339,0.9151151928189859,1.246300253550883,1.403172497635031,1.9248963533234051,1.9240592535256102,1.9675217961232647
LYP,1988,GGA,exact,,,2.786136168182455,2.021356702910582,1.4964717643024985,0.9837628876692014,0.6329314835247792,0.3667215896413562,0.922341152042596,0.825643501639122,1.4504154831875553
SLYP,1988,GGA,,,,4.428321362083983,4.179516747121095,3.4966391192003115,1.8243804131050922,2.300717028017312,1.525832591578099,3.048225778572539,2.8890523338525824,4.333923149899476
BPW91,1991,GGA,,,,2.3297521732886146,1.956081246512118,2.328659660864116,0.9559682559351688,1.0922204565937292,1.219946325394506,0.720000314123959,0.6718226527187715,1.048647379030001
PW91,1991,GGA,,,,2.6423405239501347,1.8700934863411147,2.2850544773817654,0.9935965096740313,1.1065402844763552,1.2140093818741153,0.34169201250703884,0.2930864045774643,0.5491134987825035
PW91C,1991,GGA,exact,,,3.827092752998998,2.140428735546647,1.4974119837682502,1.1660605493588143,0.7541090275540319,0.4202731462492265,1.3137804307915475,1.2213274229806348,1.929073585117976
PW91LYP,1991,GGA,,,,3.763418643781264,2.1352787189282507,2.415551613738819,1.1534295084681585,1.2203905378700122,1.323789481131492,0.1521293026444533,0.13127089199640926,0.229286431678851
PW91P86,1991,GGA,,,,2.7811506285900904,2.004451400806071,2.4225137381607875,1.027111624723496,1.119902194706984,1.2469176053258437,0.5041074893785813,0.42752840622986216,0.7927000332393845
PW91PZ81,1991,GGA,,,,3.262574556495343,2.064338193597247,2.564066727720484,0.996337598690663,1.2465969020989314,1.389224293764421,1.2762390218451345,1.273752292976205,1.3580248592714383
PW91VWN,1991,GGA,,,,3.235351549973936,2.061801460074268,2.5628206501522888,0.9919733467501463,1.2458282949586963,1.3885206844361775,1.2888519882548732,1.2853950784807797,1.3899186648864656
PW91X,1991,GGA,,,,4.015004377022837,2.084667076488533,2.386123705088312,1.2412402437269299,1.2091084400630516,1.3146190533343023,1.8213580865524461,1.796140198131366,2.210781026657287
SPW91,1991,GGA,,,,3.499652872106168,3.987878659939652,3.4743274694297406,1.7356336867301592,2.2997155559499376,1.5600889397450801,3.4537480728418486,3.2921373268437435,4.818367126346743
B3LYP,1993,GGA,hybrid,,,2.1227734985090967,1.7121867361033782,1.90596703514881,0.9189419744202031,0.9375326766569136,0.9776152450937913,0.45616302094958533,0.37601484447282846,0.7761551103324109
B3LYPV1R,1993,GGA,hybrid,,,2.108666157038792,1.7133956347210315,1.9078033634731388,0.9127606017413533,0.937545908600189,0.9783141600309481,0.3101197902849225,0.2486696357940031,0.5730553887175347
B3P86,1993,GGA,hybrid,,,1.7017345747583763,1.8718771287166889,1.9362015452971733,0.8676756323181805,0.8743987260239064,0.9176080471975041,0.7225473982291681,0.6135555877852757,1.1580909476450643
B3PW91,1993,GGA,hybrid,,,1.651938352041993,1.756371203563963,1.813514485376392,0.8550958388261133,0.8686913311295869,0.8924472447155919,0.768914590151183,0.7004923200312021,1.1681512233698186
BHHLYP,1993,GGA,hybrid,,,1.6839194772458104,1.699923125388609,1.5121516963945112,0.7854497100570365,0.6877746186437639,0.6258168617411565,0.6346231895978142,0.5447934466334902,1.0440576586172483
B1B95,1996,mGGA,hybrid,,,1.61849635591851,1.9421067950801232,2.0333288153575344,0.7905811529195591,0.9148356257908956,0.9796252947246463,0.7606057348464258,0.7251722335451932,1.0658569523899928
BPBE,1996,GGA,,,,2.240238522082335,1.9424208982416635,2.282808056189381,0.9655559685099419,1.0725266248633554,1.1886573695324858,0.8221850733057072,0.7702462727801477,1.1873461219748833
PBEC,1996,GGA,exact,,,3.899420894524319,2.1412298357396917,1.4787678893552565,1.189557439910305,0.7656371708426984,0.4323436671089697,1.4145902020286798,1.3183873051419812,2.066446052070603
PBEP86,1996,GGA,,,,2.734962184644399,1.9707735939084716,2.3528826396707774,1.040220865087128,1.1077183117648095,1.2044253752863625,0.6318449295935037,0.555908017650219,0.9697531429903847
HCTH407,1997,GGA,,,,2.160802235045164,1.743407485711156,1.0770816916027774,0.9889740545587404,0.7328270775728384,0.4604086163794799,0.7433598175968387,0.6060429397114468,1.2718477507052057
OP,1997,GGA,exact,,,3.628409763221481,2.1230643110831777,1.4928350933194598,1.1414980655388853,0.7329903764072144,0.4084948288446052,1.3744377818742766,1.2852357122183864,1.9966809169620205
PBE,1997,GGA,,,,2.4934444672832106,1.8260843631957349,2.170298898315957,1.0144282678326335,1.0813673402771804,1.1420244300236408,0.572041220932484,0.520415769167394,0.8653004931683768
