,B+1,B+3,Be+0,C+2,C+4,F+5,F+7,N+3,N+5,Ne+0,Ne+6,Ne+8,O+4,O+6
B2GP-PLYP,-24.32930414755877,-22.02033074669474,-14.653228917577975,-36.50860128616362,-32.39372464196644,-88.05073864702274,-75.51306274250766,-51.18912398115382,-44.767068098960365,-128.94044544311902,-110.23189720415841,-93.88610717049646,-68.36982530782517,-59.14009132504736
B2GP-PLYP-D3BJ,-24.32930414755877,-22.02033074669474,-14.653228917577975,-36.50860128616362,-32.39372464196644,-88.05073864702274,-75.51306274250766,-51.18912398115382,-44.767068098960365,-128.94044544311902,-110.23189720415841,-93.88610717049646,-68.36982530782517,-59.14009132504736
B2PLYP,-24.33250715855209,-22.020890271730128,-14.656435376860271,-36.51162613909992,-32.393575033860586,-88.05277530985897,-75.51087398240075,-51.19183388504683,-44.76619305842364,-128.94875428573016,-110.23351019856639,-93.8832450186005,-68.3722212705928,-59.138555790607995
DSD-BLYP-D3BJ,-24.32622575037668,-22.01877720210665,-14.650083756063573,-36.50580550199148,-32.39254849662491,-88.04932919348218,-75.51292837467096,-51.18677322824997,-44.76629312201126,-128.93244785071016,-110.23106043235498,-93.88631608969408,-68.36791796096104,-59.139640206393096
DSD-PBEB95-D3BJ,-24.31671038251596,-22.01229102389774,-14.641953255240981,-36.49545657194743,-32.38501811370175,-88.03753994462137,-75.50117710083087,-51.17584537028658,-44.757513507356926,-128.887468972069,-110.21882338793813,-93.87288592884968,-68.35654638816057,-59.129446199808676
DSD-PBEP86-D3BJ,-24.3077666259791,-22.00532344725134,-14.636001027008383,-36.484624229751915,-32.37886583805042,-88.02572644556872,-75.49991364674833,-51.164041065027035,-44.75270978676148,-128.87263940635725,-110.20777317155977,-93.87367970805506,-68.34444606066424,-59.12629701117366
DSD-PBEPBE-D3BJ,-24.310094834159564,-22.004998018167306,-14.63834704407945,-36.486198064505516,-32.37625310447065,-88.02207864688803,-75.48905791563855,-51.164303343955545,-44.747513323752784,-128.8733578658199,-110.20175091720692,-93.85991112121269,-68.34292690612061,-59.11831956191487
LS1DH-PBE,-24.311202846653803,-22.00971515172933,-14.639912263185733,-36.48681919602691,-32.38187561754766,-88.02116554447629,-75.4974731560581,-51.16437810926503,-44.754007437227735,-128.89522276944186,-110.20029005858586,-93.86925173465939,-68.3425167046515,-59.12577254540446
PBE0-2,-24.31051896475778,-22.010030074913956,-14.638585023855953,-36.48682969901183,-32.38278821921816,-88.02330422630057,-75.50011057407835,-51.165128903940165,-44.75553268134427,-128.89648932509425,-110.20315833441192,-93.87246265433548,-68.34395787362716,-59.127856031545754
PBE0-DH,-24.309397623415546,-22.00410148804077,-14.641366501201583,-36.48158369170058,-32.372906823883305,-88.00545582629235,-75.47868585319766,-51.155534237161866,-44.741622627600904,-128.88384057814415,-110.18100828011616,-93.84719405859944,-68.33025383399452,-59.11017891994468
PBE-CIDH,-24.310334628141565,-22.005585558611102,-14.641686274749942,-36.48316077486344,-32.375055641828794,-88.00898325678433,-75.48279358846823,-51.157779052495535,-44.74444608813696,-128.88653197758333,-110.18519871497243,-93.85195485705395,-68.33313779500386,-59.11364558941044
PBE-QIDH,-24.311576913072255,-22.008978709971796,-14.641087976927933,-36.48633623771663,-32.38037056327019,-88.01805918927069,-75.49373795957449,-51.16298572828042,-44.75171631932066,-128.89312741554386,-110.19628586945339,-93.86477439381022,-68.34027146214427,-59.12275704187237
PTPSS-D3Zero,-24.329282849225468,-22.02277102353651,-14.653647168019113,-36.50934481343796,-32.39743086817493,-88.05736622726197,-75.52079426110421,-51.19139714259775,-44.77210390720269,-128.93559053750303,-110.24106751484659,-93.89520038696642,-68.3741214544355,-59.14647003239432
PWPB95-D3Zero,-24.33877626199522,-22.02914847635982,-14.660574460276047,-36.52072080000141,-32.40393027022834,-88.07145782108286,-75.525950223344,-51.204049518485974,-44.77835230575833,-128.95436435785243,-110.2553597440674,-93.89950910483924,-68.38767206554917,-59.15227487582752
RSX-0DH,-24.266882792812584,-21.963903619235584,-14.605708423067297,-36.432419066958786,-32.32918256969044,-87.94070740547772,-75.4288163135541,-51.10039374065958,-44.695302857558374,-128.8134422389128,-110.11246972347412,-93.79605974103558,-68.26993832060738,-59.06187446909075
RSX-QIDH,-24.28592720654609,-21.986597665749063,-14.619524478913135,-36.45698812420142,-32.356408337325504,-87.98086429954657,-75.46701080839082,-51.1305166797318,-44.726589936171536,-128.8491189816621,-110.15729443278023,-93.83746736336353,-68.3052211938092,-59.096738695642436
RS-B88-LYP,-24.293004108701727,-21.993217080993652,-14.624600859851634,-36.46692105306387,-32.35884047851906,-87.99550026720787,-75.46120550991097,-51.14282008819975,-44.72557644828181,-128.89306890237836,-110.17207028231766,-93.8300240650347,-68.31909056793943,-59.09303316452615
RS-PBE-P86,-24.278004814817514,-21.97973048817918,-14.613020372564911,-36.44905934907372,-32.34463675797191,-87.97332109916523,-75.44834507731206,-51.12280696935152,-44.71140772811262,-128.8701749502342,-110.1497012214701,-93.81812373573563,-68.29765932507482,-59.07937427054993
RS-PBE-PBE,-24.273006090042387,-21.975829822790967,-14.610221376782869,-36.44142485656529,-32.33778091517738,-87.95550577462969,-75.4296421773873,-51.11215749776886,-44.70096772070405,-128.84494192877332,-110.12781539745457,-93.79500172637132,-68.28360898753427,-59.064934680776624
RS-PW91-PW91,-24.283563987835976,-21.985438901373538,-14.61808814720463,-36.45463800983439,-32.34944991501151,-87.97632249975892,-75.44686953564167,-51.12796836933889,-44.71458250891186,-128.88194452182717,-110.15104415747648,-93.81392269550791,-68.30195414363277,-59.08039752512543
SOS0-PBE0-DH,-24.312455546592748,-22.00507446119845,-14.643940026734246,-36.48506813674728,-32.373899615652675,-88.01009795909738,-75.47968806788009,-51.15943170194011,-44.74264071121379,-128.88383373620857,-110.18602381123083,-93.84819722734666,-68.33452713201997,-59.11119064355722
SOS0-PBE-QIDH,-24.318913629402765,-22.01150392843186,-14.647255564849917,-36.49468968516221,-32.382959301091354,-88.02912416388376,-75.49637115159382,-51.17231704576077,-44.75437989709646,-128.8932859675213,-110.20821757485331,-93.86741405849203,-68.35048010777562,-59.12541031489268
SOS-RSX-PBE0-DH,-24.26946928367676,-21.964864324551588,-14.607843607901534,-36.43542258221795,-32.330166635228686,-87.94486963751368,-75.42981457233816,-51.10380824261722,-44.69631436951094,-128.81349499873198,-110.1170077354161,-93.7970596961537,-68.27372967670499,-59.06288116432795
SOS-RSX-PBE-QIDH,-24.292921147031926,-21.98918320282128,-14.625321708948912,-36.46504629474197,-32.35906387614124,-87.99176501458646,-75.4697182611693,-51.1396010660835,-44.729325344486675,-128.85056633896937,-110.16910034538303,-93.84018242663794,-68.31522576650123,-59.09946546598705
TPSS0-DH,-24.33700955198014,-22.03277584756605,-14.662985571588788,-36.51520771221557,-32.40813949258109,-88.05712906760273,-75.53357994557483,-51.19518072384351,-44.783411613438275,-128.94277282151342,-110.23868191374508,-93.90863805315539,-68.37591675000816,-59.158520758869265
TPSS-CIDH,-24.335246831317455,-22.031445394589387,-14.661200292994456,-36.513485462873824,-32.40681898571832,-88.05555087618521,-75.53225459730379,-51.19352408312311,-44.78211097955443,-128.93966159266256,-110.23716509423173,-93.90731144268376,-68.3742969937179,-59.157208710669714
TPSS-QIDH,-24.3286932928517,-22.02671448522646,-14.65451308536658,-36.5071467381954,-32.4021318311671,-88.0499411949928,-75.52756504193397,-51.18749224675023,-44.77750125336934,-128.92952462317544,-110.23184509619759,-93.90262051951385,-68.3684680858339,-59.15256311074048
XYG3,-24.34525000274342,-22.029464600006925,-14.666370191221873,-36.52715895521206,-32.40480872955975,-88.07689932951857,-75.53007280447243,-51.21022596228221,-44.780107940729884,-128.96166145256558,-110.26055981051904,-93.90510234725122,-68.39346699720521,-59.155113880809836
XYG5,-24.305781237131523,-21.995866507299223,-14.634385700727037,-36.48069384366589,-32.365550169311504,-88.0108279672248,-75.47381674728987,-51.157115709579934,-44.735241678272416,-128.84096103085233,-110.1882127667499,-93.8431898902468,-68.3338098888908,-59.10455344097909
XYG6,-24.29442227836122,-21.981750404898907,-14.630092359087044,-36.462101111110066,-32.345248954059436,-87.96969505967725,-75.43363963523292,-51.131150563471806,-44.70850495724653,-128.80223829384332,-110.13931574084033,-93.79609265212846,-68.3003264085767,-59.071174492368044
XYG7,-24.200906862812648,-21.893202879454048,-14.567379158762343,-36.33676123070704,-32.23138316528443,-87.74556614867195,-75.24202734906436,-50.97331396964988,-44.568958844764104,-128.45487572432089,-109.8815590985547,-93.578177585636,-68.10952721614409,-58.9056969316564
XYGJ-OS,-24.281185976127038,-21.9646682450448,-14.622423080372362,-36.4428726150213,-32.32217315364562,-87.9312175805163,-75.39217586168144,-51.1056452916236,-44.67934040205132,-128.76352205521783,-110.09416485815,-93.74841091100828,-68.26840040863367,-59.03588274816853
XYGJ-OS5,-24.2389701412479,-21.9281941880699,-14.590447382977421,-36.3908829326046,-32.277973456881384,-87.85101084797945,-75.32410623764754,-51.044188829303,-44.62733216607056,-128.63321767366824,-110.0047028488955,-93.6722378254112,-68.19753100684349,-58.975885379605465
lrc-XYG3,-24.34531882396268,-22.029464605743943,-14.666706043955033,-36.527178405715695,-32.404808731340246,-88.07690068238982,-75.53007280460899,-51.210232855708945,-44.78010794139979,-128.96168117572097,-110.26056050922156,-93.9051023473218,-68.39346987157047,-59.155113881097236
mPW2PLYP,-24.331064872442365,-22.017418662649135,-14.655514794795993,-36.50960765216289,-32.389227988459304,-88.04884151615731,-75.50390033793093,-51.189192941472584,-44.76096220220874,-128.9470151819413,-110.22889848491035,-93.87539401311612,-68.36894325378229,-59.13245344620067
