,B+1,B+3,Be+0,C+2,C+4,F+5,F+7,N+3,N+5,Ne+0,Ne+6,Ne+8,O+4,O+6
B2GP-PLYP,-24.33730056832216,-22.027532001535214,-14.660111155887916,-36.516708153516255,-32.40086912676833,-88.0592935301694,-75.52030528979297,-51.1971954967139,-44.77407353332007,-128.95081264540292,-110.2405676787393,-93.8933847498098,-68.37813514783417,-59.14720329269983
B2GP-PLYP-D3BJ,-24.33730056832216,-22.027532001535214,-14.660111155887916,-36.516708153516255,-32.40086912676833,-88.0592935301694,-75.52030528979297,-51.1971954967139,-44.77407353332007,-128.95081264540292,-110.2405676787393,-93.8933847498098,-68.37813514783417,-59.14720329269983
B2PLYP,-24.338577275726323,-22.02634332389166,-14.661659120865973,-36.51777203217552,-32.39897816316979,-88.0592444824452,-75.5163348045459,-51.197946335419026,-44.77148489100602,-128.956613195188,-110.24006441371237,-93.88872785639923,-68.37850943975508,-59.14392269892302
DSD-BLYP-D3BJ,-24.336579775047415,-22.02813902640331,-14.659004381320925,-36.5163048431076,-32.40184230940904,-88.06041172389953,-75.5223614463841,-51.19723087203686,-44.775410916064835,-128.94576344300617,-110.24229124659622,-93.89579707582602,-68.37868425794225,-59.14890039540726
DSD-PBEB95-D3BJ,-24.326791634739553,-22.021500042712592,-14.650677275916237,-36.50565546610919,-32.394152413274306,-88.04824726622942,-75.51042562031171,-51.185990787320435,-44.766467213163956,-128.89986214124596,-110.22966226925291,-93.88217392557333,-68.36696842209167,-59.13853206340706
DSD-PBEP86-D3BJ,-24.31913355483896,-22.015706774221087,-14.645834402265056,-36.496133407729545,-32.389168214868405,-88.03783886698689,-75.51035650094926,-51.17549652353508,-44.76281216085471,-128.88686178730165,-110.22004118339738,-93.88417083854435,-68.35622557719707,-59.136552526799186
DSD-PBEPBE-D3BJ,-24.322089990957405,-22.01598011587714,-14.648742023180565,-36.49833020222429,-32.38715029452529,-88.03482840119452,-75.50010426037738,-51.17637270117413,-44.75819938484037,-128.8881731484085,-110.21466159760077,-93.87100800153802,-68.3553316001681,-59.12916786315123
LS1DH-PBE,-24.320496649148048,-22.01810238387335,-14.647913402548411,-36.496249891816255,-32.39020319852293,-88.03114664715716,-75.50592626059151,-51.17377609799936,-44.762178003411854,-128.9072812005296,-110.21041664659623,-93.87774766470098,-68.35220221529765,-59.13407069549515
PBE0-2,-24.3214969907058,-22.019941436416147,-14.648031648796211,-36.49797625909582,-32.39263374311197,-88.03510921330486,-75.51011439341717,-51.17624204449247,-44.76519658166849,-128.91074712190957,-110.21513396786288,-93.88251943379008,-68.35541297621678,-59.13767400008752
PBE0-DH,-24.31223739273287,-22.006643963381013,-14.643815506989377,-36.48445140037587,-32.37542552335496,-88.00849195901297,-75.48121981047596,-51.15838460246095,-44.74408694333305,-128.8875289539019,-110.18410043085777,-93.84973357081893,-68.33319426853124,-59.11267386601518
