,SCF,Corr2,CorrD,CorrD(T),MP2,CCSD,CCSD(T)
bromine,4.110605460483497,-0.407491744985942,0.10398740280920055,0.03153782124624754,3.703113715497555,3.807101118306756,3.7346515367438027
chlorine,2.7189598272654862,-0.2315579068774368,0.0553111600554403,0.022136610381776806,2.4874019203880495,2.5427130804434896,2.5095385307698264
nitrogen,0.7973096257785869,-0.16150387411401335,0.06465469032489347,0.06536828452405667,0.6358057516645735,0.700460441989467,0.7011740361886302
oxygen,1.5981983806032591,-1.0187736969741574,0.5414116706173299,0.5019028337387536,0.5794246836291017,1.1208363542464315,1.0813275173678552
carbon_monoxide,0.4857468895382661,0.06690134477295202,-0.0033478200533814044,-0.009275209292393288,0.5526482343112181,0.5493004142578367,0.5433730250188248
nitrogen_monoxide,0.8249374845897958,-0.30013934812369175,0.26473188751791915,0.2474906663036698,0.5247981364661041,0.7895300239840233,0.7722888027697739
sulfur_monoxide,1.8706983954808016,-0.8549497301052212,0.5277076230542839,0.4560733690271117,1.0157486653755803,1.5434562884298642,1.471822034402692
carbon_dioxide,1.7570581364379925,0.4168639631247333,-0.11677744711526891,-0.09284622407108664,2.1739220995627258,2.057144652447457,2.081075875491639
sulfur_dioxide,1.932748005495685,0.1723665807560452,0.0009303134406995074,-0.0020320681078508573,2.10511458625173,2.1060448996924297,2.1030825181438795
ethene,1.8921644057190043,-0.320042307867915,0.06719235212741137,0.03267560258278611,1.5721220978510893,1.6393144499785006,1.6047977004338754
propane,0.7926755845975407,0.13426822891826903,-0.06073135521165922,-0.031900406179981924,0.9269438135158098,0.8662124583041506,0.8950434073358279
1-3-butadiene,7.278890719393508,-1.2385973377124666,0.00777591653901773,-0.06564126616647425,6.040293381681042,6.048069298220059,5.9746521155145675
isobutene,2.828653905091528,-0.2522376496328062,0.028007964990707714,0.014793537589115642,2.5764162554587218,2.6044242204494297,2.5912097930478373
1-pentene,3.729179830918365,-0.11210282945152628,-0.050289504748811255,-0.022145910856308914,3.6170770014668387,3.5667874967180273,3.5949310906105296
water,0.1695480409652335,-0.10633243357062283,0.03909206080691561,0.02402118697100437,0.06321560739461066,0.10230766820152626,0.08723679436561503
methanol,0.4482337529986763,0.03127102142028757,-0.01775743313065789,-0.0075294020864547255,0.4795047744189639,0.46174734128830597,0.47197537233250914
ethanol,0.7372434362087085,0.06738766627245762,-0.022094516926067852,-0.003019356512580151,0.8046311024811661,0.7825365855550982,0.801611745968586
methylformate,1.4592894939031462,0.33842515488354813,-0.08801201279248669,-0.01830647235174031,1.7977146487866944,1.7097026359942078,1.779408176434954
methylacetate,1.8505482457069269,0.41492870130948317,-0.12407662502227121,-0.026982042774829622,2.2654769470164102,2.141400321994139,2.2384949042415805
acetone,1.5085564080202685,0.23461758103495006,-0.06883155682561082,-0.019200631545439384,1.7431739890552185,1.6743424322296077,1.723973357509779
acetaldehyde,1.398239737788057,0.14671608317376095,-0.023308500451236936,0.005621838379587383,1.544955820961818,1.521647320510581,1.5505776593414053
acetic_acid,1.4093370822258826,0.26082077011398785,-0.06490540395632638,-0.015578956536481399,1.6701578523398704,1.605252448383544,1.654578895803389
dimethyl_ether,0.9769671281916736,0.0449336582863799,-0.0189806399327441,-0.0012566076836350176,1.0219007864780536,1.0029201465453095,1.0206441787944185
N-methylacetamide,2.2239045657380405,0.5205653036035429,-0.14946377812228084,-0.02916139638507312,2.744469869341583,2.5950060912193025,2.7153084729565102
dimethyl_sulfide,1.7291219837241405,0.05818946312977387,-0.029776643707961913,-0.01470966551801784,1.7873114468539144,1.7575348031459526,1.7726017813358965
dimethyl_sulfone,0.5736168835280695,-0.0007937413169287864,-0.015252811903720895,0.0005040329260931985,0.5728231422111407,0.5575703303074199,0.573327175137234
fluoromethane,0.1733030729360867,0.056161065615891646,-0.01074086048681602,-0.001790943491878207,0.22946413855197836,0.21872327806516234,0.22767319506010017
