,SCF,SCF,SCF,MP2,MP2,MP2,CCSD,CCSD,CCSD,CCSD(T),CCSD(T),CCSD(T)
,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz
cc-pVDZ,0.6732681369806017,0.7187538026385127,1.7802169815797508,0.6519117266918744,0.688704893038191,1.432062042134887,0.6729635979601678,0.734785489235127,1.7090589520472947,0.6726441280686077,0.7361969195762166,1.6907460988366683
cc-pVTZ,0.9308821496732108,0.9435272850575283,1.9337864804869118,0.930304081579169,0.9199444587184277,1.6136251913040935,0.9427924667704954,0.9612265484834995,1.884405905386151,0.9456202161402835,0.9645271923035906,1.8682447543805305
cc-pVQZ,1.108707215928947,1.0951227733930908,2.028290262385245,1.1360380420680662,1.0809675963210639,1.7212876740119059,1.1408995339172825,1.1182140802560183,2.000424851991243,1.1490724688164973,1.12472272079058,1.9899807468597
cc-pV5Z,1.2074907363774938,1.1725196280201853,2.091800889883528,1.2647712879841726,1.167588926968897,1.8082000042371484,1.261634836365261,1.2014541721777339,2.085745278965159,1.2760748687251127,1.2111415652195743,2.081168169644617
aug-cc-pVDZ,1.2767981017806656,1.2173521816496142,2.1060691248320773,1.3869055126611471,1.2350140849941547,1.9835531792548935,1.4000219810217804,1.2668442615762356,2.1738851378012676,1.4189944690736687,1.2772330533606964,2.1754314134770634
aug-cc-pVTZ,1.3372638792203646,1.2764300708904266,2.139384888608208,1.4570167060258983,1.3013370998221196,1.9352724240929273,1.4471418845126873,1.3248719237343216,2.180060959578987,1.4726577466823472,1.3395920774729972,2.1825771569833012
aug-cc-pVQZ,1.3525124750301698,1.2905160729801417,2.145247072067989,1.475048631324272,1.3161300231973172,1.9167645582591215,1.458724985944043,1.3375513083606254,2.18117154663376,1.486732561542718,1.3542314994266054,2.1849515740236316
aug-cc-pV5Z,1.354356372596689,1.2920232586340068,2.146347544814519,1.4767576030080336,1.316780834604988,1.9092595135867378,1.4583435651248093,1.3377576761532033,2.179689678337973,1.4871821986645162,1.3549806836954896,2.1840052291835343
aug-cc-pCVDZ,1.277739196783068,1.2173765566481383,2.10799541410527,1.3893094918892122,1.2339311580348988,1.9841111756168897,1.3989201663341866,1.2652240812207902,2.1734891841130435,1.4185029827643403,1.27582160512004,2.175345381840805
aug-cc-pCVTZ,1.3377877458463068,1.2765063999084822,2.139349444306899,1.455475589110589,1.2995640287361923,1.9346396396550067,1.443276898934116,1.3220994398039512,2.176386831818231,1.4694224973507364,1.3370762680681196,2.1794314502353607
aug-cc-pCVQZ,1.3526250243484077,1.290643916951881,2.1451678133119896,1.4745294127947008,1.3149632146556682,1.9151353275667513,1.4560882539087994,1.3357295657198702,2.1786949520213237,1.4845132321414838,1.3525601089365722,2.1827603511541724
