,,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z
,,low_rung,low_rung,low_rung,low_rung,low_rung,low_rung,pt2,pt2,pt2,pt2,pt2,pt2,tot,tot,tot,tot,tot,tot,low_rung,low_rung,low_rung,low_rung,low_rung,low_rung,pt2,pt2,pt2,pt2,pt2,pt2,tot,tot,tot,tot,tot,tot,low_rung,low_rung,low_rung,low_rung,low_rung,low_rung,pt2,pt2,pt2,pt2,pt2,pt2,tot,tot,tot,tot,tot,tot,low_rung,low_rung,low_rung,low_rung,low_rung,low_rung,pt2,pt2,pt2,pt2,pt2,pt2,tot,tot,tot,tot,tot,tot,low_rung,low_rung,low_rung,low_rung,low_rung,low_rung,pt2,pt2,pt2,pt2,pt2,pt2,tot,tot,tot,tot,tot,tot,low_rung,low_rung,low_rung,low_rung,low_rung,low_rung,pt2,pt2,pt2,pt2,pt2,pt2,tot,tot,tot,tot,tot,tot
,,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx
HH118,AlF,6.17916513,6.17916513,5.16284432,-0.0,-0.0,0.0,-0.14268126,-0.14268126,0.11919979,0.0,-0.0,-0.0,6.03648386,6.03648386,5.28204411,-0.0,-0.0,0.0,6.20703097,6.20703097,5.19515768,-0.0,-0.0,0.0,-0.126074,-0.126074,0.11397334,0.0,0.0,-0.0,6.08095698,6.08095698,5.30913103,-0.0,0.0,0.0,6.21235091,6.21235091,5.20021962,-0.0,-0.0,-0.0,-0.1192849,-0.1192849,0.11706488,-0.0,-0.0,0.0,6.09306602,6.09306602,5.3172845,-0.0,-0.0,-0.0,6.17981625,6.17981625,5.18446673,-0.0,-0.0,-0.0,-0.10495768,-0.10495768,0.13240555,0.0,-0.0,0.0,6.07485857,6.07485857,5.31687229,-0.0,-0.0,0.0,6.20487907,6.20487907,5.19745321,0.0,0.0,0.0,-0.1146522,-0.1146522,0.1221552,-0.0,0.0,0.0,6.09022687,6.09022687,5.31960841,-0.0,0.0,0.0,6.20713569,6.20713569,5.1973146,0.0,0.0,0.0,-0.11803888,-0.11803888,0.11888348,-0.0,-0.0,-0.0,6.08909681,6.08909681,5.31619808,-0.0,-0.0,-0.0
HH118,Ar,1.65097599,1.65097599,1.65097599,0.0,-0.0,0.0,0.03244033,0.03244033,0.03244033,-0.0,0.0,-0.0,1.68341632,1.68341632,1.68341632,0.0,-0.0,0.0,1.66152624,1.66152624,1.66152624,0.0,0.0,-0.0,0.02638462,0.02638462,0.02638462,0.0,-0.0,-0.0,1.68791086,1.68791086,1.68791086,0.0,0.0,-0.0,1.66241632,1.66241632,1.66241632,-0.0,-0.0,0.0,0.02539375,0.02539375,0.02539375,0.0,-0.0,0.0,1.68781007,1.68781007,1.68781007,-0.0,-0.0,0.0,1.6070066,1.6070066,1.6070066,0.0,-0.0,0.0,0.02236128,0.02236128,0.02236128,-0.0,0.0,-0.0,1.62936788,1.62936788,1.62936788,0.0,0.0,0.0,1.65746714,1.65746714,1.65746714,0.0,0.0,0.0,0.02463408,0.02463408,0.02463408,-0.0,-0.0,0.0,1.68210121,1.68210121,1.68210121,-0.0,0.0,0.0,1.65370445,1.65370445,1.65370445,-0.0,0.0,-0.0,0.02404673,0.02404673,0.02404673,0.0,-0.0,0.0,1.67775118,1.67775118,1.67775118,0.0,-0.0,0.0
HH118,BF,3.09651893,3.09651893,2.63823276,0.0,-0.0,-0.0,0.01647889,0.01647889,0.12444785,-0.0,0.0,0.0,3.11299782,3.11299782,2.76268061,0.0,-0.0,-0.0,3.10473595,3.10473595,2.64649411,0.0,0.0,-0.0,0.01524281,0.01524281,0.12213761,-0.0,-0.0,0.0,3.11997876,3.11997876,2.76863171,0.0,0.0,-0.0,3.10514035,3.10514035,2.64725158,0.0,0.0,-0.0,0.01429811,0.01429811,0.12077672,0.0,0.0,0.0,3.11943846,3.11943846,2.7680283,0.0,0.0,0.0,3.09152434,3.09152434,2.64964518,-0.0,-0.0,-0.0,0.01565914,0.01565914,0.12563322,-0.0,0.0,-0.0,3.10718348,3.10718348,2.7752784,-0.0,-0.0,-0.0,3.10214843,3.10214843,2.64768874,0.0,0.0,0.0,0.0146347,0.0146347,0.12210483,0.0,0.0,0.0,3.11678313,3.11678313,2.76979357,0.0,0.0,0.0,3.1044474,3.1044474,2.64696137,-0.0,-0.0,0.0,0.01449641,0.01449641,0.1210755,0.0,-0.0,-0.0,3.1189438,3.1189438,2.76803687,0.0,-0.0,-0.0
HH118,BH2,2.83340152,3.04700347,2.93703523,-0.0,0.0,0.0,0.02856832,0.04950494,0.04216761,-0.0,-0.0,-0.0,2.86196984,3.09650841,2.97920284,-0.0,-0.0,0.0,2.86739645,3.08045226,2.94778493,0.0,-0.0,0.0,0.02819669,0.04944937,0.03279152,0.0,0.0,0.0,2.89559314,3.12990163,2.98057646,0.0,0.0,0.0,2.86985496,3.08281918,2.94895504,-0.0,-0.0,0.0,0.02795999,0.04926039,0.03294132,0.0,0.0,-0.0,2.89781495,3.13207957,2.98189636,-0.0,-0.0,-0.0,2.86547674,3.08189687,2.94764424,0.0,0.0,-0.0,0.02696941,0.05321847,0.03497905,0.0,-0.0,0.0,2.89244615,3.13511534,2.9826233,0.0,-0.0,0.0,2.86883235,3.08294634,2.94747527,0.0,0.0,-0.0,0.02809552,0.05113383,0.0343176,0.0,0.0,-0.0,2.89692788,3.13408016,2.98179287,0.0,0.0,-0.0,2.86931475,3.08216572,2.94851942,0.0,0.0,-0.0,0.02812407,0.04998063,0.03349181,0.0,-0.0,0.0,2.89743883,3.13214634,2.98201124,0.0,0.0,0.0
HH118,BH2Cl,3.53209711,4.04942133,5.38230372,-0.0,0.0,-0.0,0.05151755,0.06221412,0.18943451,0.0,0.0,0.0,3.58361466,4.11163545,5.57173823,-0.0,0.0,0.0,3.56513797,4.07126412,5.40710846,-0.0,-0.0,0.0,0.04491932,0.05676453,0.18184762,0.0,0.0,-0.0,3.61005729,4.12802865,5.58895608,0.0,0.0,0.0,3.56959714,4.07540395,5.4094382,0.0,0.0,-0.0,0.04408887,0.0559895,0.18080915,-0.0,-0.0,-0.0,3.61368602,4.13139345,5.59024734,0.0,0.0,-0.0,3.54208532,4.04946165,5.39956894,-0.0,-0.0,-0.0,0.0465652,0.05924697,0.18632014,-0.0,-0.0,-0.0,3.58865052,4.10870863,5.58588908,-0.0,-0.0,-0.0,3.56491512,4.07213695,5.40772486,0.0,0.0,-0.0,0.0447576,0.05693005,0.18236586,-0.0,-0.0,-0.0,3.60967272,4.129067,5.59009072,-0.0,0.0,-0.0,3.5650482,4.07100423,5.40816371,-0.0,0.0,-0.0,0.04342496,0.05535812,0.179988,0.0,0.0,0.0,3.60847316,4.12636235,5.5881517,-0.0,0.0,0.0
HH118,BH2F,2.04466968,2.64304874,2.5423675,0.0,-0.0,0.0,0.05263059,0.06103755,0.12597899,0.0,0.0,0.0,2.09730027,2.70408629,2.66834649,0.0,-0.0,0.0,2.0708555,2.64974629,2.55355495,-0.0,-0.0,-0.0,0.05240842,0.06136562,0.12580881,0.0,0.0,-0.0,2.12326392,2.71111191,2.67936376,-0.0,-0.0,-0.0,2.07150791,2.65044229,2.55393463,-0.0,0.0,0.0,0.05251332,0.06134388,0.12567162,-0.0,-0.0,-0.0,2.12402123,2.71178617,2.67960626,-0.0,0.0,-0.0,2.05733154,2.63986967,2.55687797,-0.0,0.0,-0.0,0.05161067,0.06257266,0.12840096,0.0,-0.0,-0.0,2.10894222,2.70244233,2.68527894,-0.0,0.0,-0.0,2.06772059,2.6485616,2.55486709,-0.0,-0.0,-0.0,0.05232222,0.06185719,0.12657675,0.0,-0.0,-0.0,2.12004282,2.7104188,2.68144384,0.0,-0.0,-0.0,2.07065307,2.64997776,2.55416762,0.0,0.0,-0.0,0.05251307,0.06149873,0.12582307,-0.0,-0.0,0.0,2.12316614,2.71147649,2.67999069,-0.0,0.0,0.0
HH118,BH3,2.75224483,2.75218512,2.06774679,0.0,0.0,-0.0,0.02205324,0.02229424,0.01790404,-0.0,-0.0,0.0,2.77429806,2.77447936,2.08565083,-0.0,-0.0,0.0,2.75975894,2.75969991,2.10659886,-0.0,-0.0,0.0,0.0244878,0.02448715,0.01999027,0.0,-0.0,0.0,2.78424674,2.78418706,2.12658913,-0.0,-0.0,0.0,2.76021455,2.76015529,2.10725333,0.0,-0.0,0.0,0.02534165,0.02534116,0.02085814,0.0,0.0,0.0,2.7855562,2.78549645,2.12811147,0.0,-0.0,0.0,2.76129538,2.76123638,2.10872442,0.0,0.0,-0.0,0.02764851,0.02764793,0.02144107,0.0,0.0,0.0,2.78894388,2.78888431,2.13016549,0.0,0.0,0.0,2.76023022,2.76017096,2.10699149,-0.0,0.0,-0.0,0.02649721,0.02649661,0.02136816,-0.0,0.0,-0.0,2.78672742,2.78666757,2.12835965,-0.0,0.0,-0.0,2.76018299,2.76012374,2.10720105,-0.0,-0.0,-0.0,0.02604415,0.02604374,0.02130763,0.0,-0.0,0.0,2.78622714,2.78616749,2.12850868,-0.0,-0.0,-0.0
HH118,BHF2,2.00043065,2.49167596,2.44273471,0.0,-0.0,-0.0,0.08645742,0.1681101,0.12977145,0.0,0.0,-0.0,2.08688807,2.65978607,2.57250616,0.0,-0.0,-0.0,2.01325278,2.50189274,2.45043205,-0.0,0.0,-0.0,0.08443445,0.16671477,0.12764992,-0.0,0.0,-0.0,2.09768723,2.66860751,2.57808197,-0.0,0.0,-0.0,2.01377645,2.50235824,2.45101745,0.0,-0.0,-0.0,0.083963,0.16610396,0.12690125,0.0,0.0,0.0,2.09773944,2.66846221,2.5779187,0.0,-0.0,0.0,1.99249616,2.5001182,2.44059494,-0.0,-0.0,-0.0,0.08276649,0.16804631,0.12835025,0.0,-0.0,-0.0,2.07526265,2.66816451,2.56894519,-0.0,-0.0,-0.0,2.0087201,2.5024238,2.4493224,-0.0,0.0,0.0,0.08347988,0.16671165,0.12721042,0.0,0.0,-0.0,2.09219999,2.66913546,2.57653282,0.0,0.0,0.0,2.01273762,2.5023489,2.45076683,0.0,-0.0,0.0,0.08372668,0.1660331,0.12673983,-0.0,0.0,-0.0,2.0964643,2.668382,2.57750666,-0.0,0.0,-0.0
