,,noxc,noxc,noxc,noxc,noxc,noxc,SCF,SCF,SCF,SCF,SCF,SCF,corr,corr,corr,corr,corr,corr,HF,HF,HF,HF,HF,HF,LDA_X,LDA_X,LDA_X,LDA_X,LDA_X,LDA_X,GGA_X_B88,GGA_X_B88,GGA_X_B88,GGA_X_B88,GGA_X_B88,GGA_X_B88,LDA_C_VWN,LDA_C_VWN,LDA_C_VWN,LDA_C_VWN,LDA_C_VWN,LDA_C_VWN,LDA_C_VWN_RPA,LDA_C_VWN_RPA,LDA_C_VWN_RPA,LDA_C_VWN_RPA,LDA_C_VWN_RPA,LDA_C_VWN_RPA,GGA_C_LYP,GGA_C_LYP,GGA_C_LYP,GGA_C_LYP,GGA_C_LYP,GGA_C_LYP,MP2_OS,MP2_OS,MP2_OS,MP2_OS,MP2_OS,MP2_OS,MP2_SS,MP2_SS,MP2_SS,MP2_SS,MP2_SS,MP2_SS
,,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx
HH118,AlF,10.51216767,10.51216767,10.21978675,0.0,-0.0,0.0,6.11282932,6.11282932,5.37187665,0.0,-0.0,0.0,4.39933835,4.39933835,4.84791009,0.0,-0.0,0.0,-4.12644767,-4.12644767,-5.31065659,-0.0,0.0,-0.0,-4.01468389,-4.01468389,-4.28518213,-0.0,0.0,-0.0,-4.01033957,-4.01033957,-4.35950659,-0.0,0.0,-0.0,-0.39706402,-0.39706402,-0.40135764,0.0,0.0,-0.0,-0.46612226,-0.46612226,-0.46808968,0.0,0.0,-0.0,-0.34182877,-0.34182877,-0.26575635,0.0,0.0,-0.0,-0.42569264,-0.42569264,0.49305402,0.0,0.0,-0.0,-0.01954215,-0.01954215,0.42329945,0.0,0.0,-0.0
HH118,Ar,3.17312946,3.17312946,3.17312946,-0.0,0.0,-0.0,1.72467542,1.72467542,1.72467542,-0.0,-0.0,-0.0,1.44845404,1.44845404,1.44845404,-0.0,0.0,-0.0,-1.60586198,-1.60586198,-1.60586198,0.0,-0.0,0.0,-1.30751989,-1.30751989,-1.30751989,0.0,-0.0,0.0,-1.32728637,-1.32728637,-1.32728637,0.0,-0.0,0.0,-0.09522485,-0.09522485,-0.09522485,0.0,-0.0,0.0,-0.10803282,-0.10803282,-0.10803282,0.0,-0.0,0.0,-0.05741684,-0.05741684,-0.05741684,0.0,-0.0,0.0,0.11635944,0.11635944,0.11635944,-0.0,0.0,-0.0,0.03969204,0.03969204,0.03969204,-0.0,-0.0,-0.0
HH118,BF,5.92700189,5.92700189,5.68321039,-0.0,0.0,0.0,3.17224369,3.17224369,2.81112339,-0.0,0.0,0.0,2.7547582,2.7547582,2.872087,-0.0,0.0,0.0,-2.91430868,-2.91430868,-3.29150393,0.0,-0.0,-0.0,-2.41474502,-2.41474502,-2.49443352,0.0,-0.0,-0.0,-2.52505861,-2.52505861,-2.59804215,0.0,-0.0,-0.0,-0.22017844,-0.22017844,-0.21816288,0.0,-0.0,-0.0,-0.25591551,-0.25591551,-0.25226259,0.0,-0.0,-0.0,-0.138321,-0.138321,-0.11815974,0.0,-0.0,-0.0,0.03608457,0.03608457,0.49788728,-0.0,0.0,0.0,0.09056563,0.09056563,0.26147166,-0.0,0.0,0.0
HH118,BH2,5.88233736,8.16733425,5.72381179,-8.6575e-05,-0.0,0.0,2.96407162,3.28139233,3.06053694,-1.361e-05,-0.0,0.0,2.91826574,4.88594192,2.66327485,-7.2965e-05,0.0,-0.0,-3.16190113,-5.41896191,-2.95433588,8.1775e-05,0.0,-0.0,-2.60160572,-4.289289,-2.3309293,6.3925e-05,-0.0,-0.0,-2.76589966,-4.52783789,-2.4655828,6.6385e-05,0.0,-0.0,-0.14137537,-0.31937846,-0.17966834,5.41e-06,-0.0,-0.0,-0.17625219,-0.38163924,-0.21319549,6.42e-06,0.0,-0.0,-0.06488823,-0.15617447,-0.08671516,3.01e-06,0.0,-0.0,0.11116182,0.21741925,0.14911152,-2.87e-06,-0.0,0.0,0.04555933,0.12476435,0.07293653,-1.22e-06,0.0,-0.0
HH118,BH2Cl,6.33416105,7.20117937,9.33207376,-0.0,-0.0,-0.0,3.65813867,4.19161741,5.67134419,0.0,0.0,-0.0,2.67602238,3.00956197,3.66072957,-0.0,-0.0,-0.0,-2.88719414,-3.30068474,-4.3226739,0.0,0.0,0.0,-2.36584697,-2.64690318,-3.13231823,0.0,0.0,0.0,-2.45757479,-2.75032173,-3.31064192,0.0,0.0,0.0,-0.19832397,-0.22629094,-0.25258793,0.0,-0.0,0.0,-0.22712725,-0.25926971,-0.28821409,0.0,0.0,0.0,-0.11938614,-0.13355072,-0.1323352,0.0,0.0,0.0,0.1808318,0.23946142,0.7686069,0.0,0.0,-0.0,0.07166775,0.1181252,0.33822576,0.0,0.0,-0.0
HH118,BH2F,3.84760774,4.92521341,4.75179364,0.0,0.0,0.0,2.16043361,2.76488441,2.71526022,0.0,0.0,0.0,1.68717413,2.160329,2.03653342,-0.0,0.0,0.0,-1.90713487,-2.45095959,-2.45362896,-0.0,-0.0,-0.0,-1.45509134,-1.86378114,-1.74199158,-0.0,-0.0,-0.0,-1.54464566,-1.96343377,-1.83705637,-0.0,-0.0,-0.0,-0.11589512,-0.15851199,-0.13201982,-0.0,-0.0,-0.0,-0.1321129,-0.18137774,-0.14990611,-0.0,0.0,-0.0,-0.06431693,-0.09001408,-0.06831089,-0.0,-0.0,0.0,0.21896966,0.26001247,0.5386016,0.0,0.0,0.0,0.09796929,0.138607,0.24981807,0.0,0.0,0.0
HH118,BH3,4.8772865,4.87713952,3.69390593,-0.0,-0.0,0.0,2.84417263,2.84407056,2.16660069,-0.0,-0.0,0.0,2.03311388,2.03306896,1.52730524,0.0,-0.0,0.0,-2.23643495,-2.23634185,-1.66685744,0.0,0.0,-0.0,-1.72657297,-1.72650002,-1.29501875,0.0,0.0,-0.0,-1.86755905,-1.86747432,-1.4140521,-0.0,0.0,-0.0,-0.16207157,-0.16206637,-0.11309336,0.0,0.0,-0.0,-0.18648817,-0.18648237,-0.12977886,0.0,0.0,-0.0,-0.08352567,-0.08352409,-0.05871793,0.0,0.0,-0.0,0.09734402,0.09735056,0.08703815,0.0,-0.0,0.0,0.06667397,0.06667187,0.03658448,0.0,-0.0,0.0
HH118,BHF2,3.95355259,4.82933814,4.84206664,0.0,-0.0,-0.0,2.1316517,2.70348962,2.61994263,-0.0,0.0,-0.0,1.82190089,2.12584852,2.22212401,0.0,-0.0,0.0,-2.12263499,-2.66122212,-2.66684914,0.0,0.0,0.0,-1.58802191,-1.82271448,-1.93411271,0.0,0.0,0.0,-1.65382848,-1.90635343,-1.99712838,-0.0,-0.0,-0.0,-0.1171859,-0.12476028,-0.14285851,0.0,0.0,-0.0,-0.13284194,-0.14065538,-0.16201914,0.0,0.0,-0.0,-0.06709061,-0.06000877,-0.08069947,-0.0,0.0,0.0,0.34772671,0.71014122,0.53060422,-0.0,0.0,0.0,0.16110546,0.33691674,0.26674883,0.0,0.0,0.0
HH118,BO,4.56208572,4.56208572,5.31640858,0.0,-0.0,-1.612e-05,2.37384826,2.37384826,2.89139909,0.0,0.0,-4.35e-06,2.18823746,2.18823746,2.42500948,-0.0,-0.0,-1.177e-05,-2.56663834,-2.56663834,-2.96995369,-0.0,0.0,1.595e-05,-2.04901108,-2.04901108,-2.2148279,-0.0,0.0,1.235e-05,-2.0749705,-2.0749705,-2.23088513,-0.0,0.0,1.198e-05,-0.04959993,-0.04959993,-0.07806931,-0.0,-0.0,-9.3e-07,-0.07483104,-0.07483104,-0.10505297,-0.0,-0.0,-7.6e-07,-0.00346815,-0.00346815,-0.03412145,-0.0,-0.0,-1.1e-06,0.49729298,0.49729298,1.13504903,-0.0,-0.0,-6.36e-06,0.16055516,0.16055516,0.44323137,-0.0,-0.0,-5.9e-07
