,C,F,H,N,O,C2_0.5,C2_0.6,C2_0.7,C2_0.8,C2_0.9,C2_1.0,C2_1.1,C2_1.2,C2_1.3,C2_1.4,C2_1.5,C2_1.6,C2_1.7,C2_1.8,C2_1.9,C2_2.0,C2_2.2,C2_2.4,C2_2.6,C2_2.8,C2_3.0,C2_3.5,C2_4.0,F2_0.5,F2_0.6,F2_0.7,F2_0.8,F2_0.9,F2_1.0,F2_1.1,F2_1.2,F2_1.3,F2_1.4,F2_1.5,F2_1.6,F2_1.7,F2_1.8,F2_1.9,F2_2.0,F2_2.2,F2_2.4,F2_2.6,F2_2.8,F2_3.0,F2_3.5,F2_4.0,H2O_0.5,H2O_0.6,H2O_0.7,H2O_0.8,H2O_0.9,H2O_1.0,H2O_1.1,H2O_1.2,H2O_1.3,H2O_1.4,H2O_1.5,H2O_1.6,H2O_1.7,H2O_1.8,H2O_1.9,H2O_2.0,H2O_2.2,H2O_2.4,H2O_2.6,H2O_2.8,H2O_3.0,H2O_3.5,H2O_4.0,H6_0.5,H6_0.6,H6_0.7,H6_0.8,H6_0.9,H6_1.0,H6_1.1,H6_1.2,H6_1.3,H6_1.4,H6_1.5,H6_1.6,H6_1.7,H6_1.8,H6_1.9,H6_2.0,H6_2.2,H6_2.4,H6_2.6,H6_2.8,H6_3.0,H6_3.5,H6_4.0,N2_0.5,N2_0.6,N2_0.7,N2_0.8,N2_0.9,N2_1.0,N2_1.1,N2_1.2,N2_1.3,N2_1.4,N2_1.5,N2_1.6,N2_1.7,N2_1.8,N2_1.9,N2_2.0,N2_2.2,N2_2.4,N2_2.6,N2_2.8,N2_3.0,N2_3.5,N2_4.0
eng_exx_HF,-5.076810201279889,-10.044612445304855,-0.3125023331331062,-6.606776432858302,-8.21768999857886,-11.169793841471913,-11.15603305853137,-11.052772891352546,-10.873185475980396,-10.700691425152323,-10.555750847311618,-10.448860138263994,-10.38493857362251,-10.350234572546414,-10.17014340173907,-10.154712839811364,-10.137843877879625,-10.120873553011839,-10.106516994555744,-10.101507168650585,-10.111096015747396,-10.141539401087151,-10.148917475615352,-10.152003348454661,-10.15320014102736,-10.153583982269963,-10.153554775501595,-10.106825599589241,-21.675055123562096,-21.3680013598643,-21.06529438265246,-20.802317168943276,-20.581976690860902,-20.401528254105223,-20.255096320889766,-20.136768192341833,-20.04154384604378,-20.053781647949105,-20.084559749932282,-20.096105653410486,-20.0992175736452,-20.09888307511709,-20.097367518823013,-20.095653815042585,-20.092882521224908,-20.092020739438517,-20.091044874423165,-20.090411641569744,-20.08971093687131,-20.089202309122136,-20.089173044672766,-9.73525357501631,-9.499301533259308,-9.30502341101377,-9.145328468646019,-9.013286338620842,-8.902987357698947,-8.809723300742945,-8.729910192633021,-8.6608938871564,-8.699867176598488,-8.74281325743492,-8.773806045913068,-8.795599422195156,-8.81068728365758,-8.821032844432391,-8.828082962763592,-8.83608823993385,-8.839713881614253,-8.841342907981772,-8.84207286123351,-8.802430222399265,-8.802936834197082,-8.803038451353855,-2.662216327175158,-2.4532442628700943,-2.271635805904986,-2.114919937365392,-1.9795829921717278,-1.8622329165992864,-1.7599452072563928,-1.6703003063263109,-1.673533570855493,-1.698079020460148,-1.7210801737500174,-1.7431732204827841,-1.7642295333703317,-1.7837443699264715,-1.8012005069758088,-1.8162802683767623,-1.8392283689865763,-1.8539977345739544,-1.8629622131948462,-1.8682095804221872,-1.8712069505413824,-1.8741352167091143,-1.8747941931329757,-14.713232341740033,-14.359605862032954,-14.01453004060856,-13.719482219311347,-13.474502731901474,-13.271512660730249,-13.102105792265903,-13.060325918311767,-13.079797253982656,-13.085321744778264,-13.087310756586724,-13.101353772376484,-13.133286401589729,-13.163736628392886,-13.184756310998694,-13.197910844089533,-13.210328946884546,-13.081700104056985,-13.214824043802027,-13.214634632083278,-13.088848479208272,-13.08885446768224,-13.088843230320563
eng_nuc,0.0,0.0,0.0,0.0,0.0,38.100759186240005,31.7506326552,27.214827990171436,23.8129744914,21.1670884368,19.050379593120002,17.31852690283636,15.8753163276,14.654138148553848,13.607413995085718,12.700253062080002,11.9064872457,11.206105643011766,10.5835442184,10.026515575326316,9.525189796560001,8.65926345141818,7.9376581638,7.327069074276924,6.803706997542859,6.350126531040001,5.442965598034286,4.762594898280001,85.72670816904001,71.43892347420001,61.233362977885726,53.57919260564999,47.6259489828,42.863354084520005,38.96668553138181,35.719461737100005,32.971810834246156,30.616681488942863,28.57556938968,26.789596302824997,25.213737696776473,23.8129744914,22.55966004448421,21.431677042260002,19.483342765690907,17.859730868550002,16.485905417123078,15.308340744471431,14.28778469484,12.246672595577143,10.715838521130001,17.60293113745093,14.669109281209106,12.573522241036379,11.00183196090683,9.779406187472738,8.801465568725465,8.001332335204967,7.334554640604553,6.770358129788818,6.2867611205181895,5.867643712483641,5.500915980453415,5.177332687485567,4.889703093736369,4.632350299329191,4.400732784362733,4.000666167602484,3.6672773203022766,3.385179064894409,3.1433805602590947,2.9338218562418206,2.5147044482072753,2.2003663921813663,11.603905425884136,9.669921188236772,8.288503875631521,7.252440891177581,6.446614125491183,5.801952712942068,5.2745024663109685,4.834960594118386,4.463040548416972,4.144251937815761,3.867968475294709,3.6262204455887903,3.412913360554157,3.2233070627455915,3.0536593226010864,2.900976356471034,2.6372512331554843,2.417480297059193,2.231520274208486,2.0721259689078804,1.9339842376473546,1.657700775126304,1.450488178235517,51.85936667016001,43.2161388918,37.042404764400004,32.41210416885001,28.810759261199998,25.929683335080004,23.572439395527272,21.6080694459,19.945910257753848,18.521202382200002,17.28645555672,16.206052084425004,15.252754902988238,14.405379630599999,13.647201755305264,12.964841667540002,11.786219697763636,10.80403472295,9.972955128876924,9.260601191100001,8.64322777836,7.4084809528800015,6.482420833770001
eng_hcore,-50.45109127430851,-139.25084519791562,-0.49999453515890235,-73.95672049757536,-103.25379994996158,-163.5771722230958,-156.98052701399232,-151.66986459235022,-146.71715709422313,-142.34820602309702,-138.55527965488164,-135.275848027881,-132.4501877714003,-130.02169963452872,-127.76794238257347,-125.98613752319356,-124.42383800971236,-123.04230178126859,-121.81227639385156,-120.71556490525961,-119.74249218190465,-118.0806836408996,-116.68753832167695,-115.49846644188749,-114.47099060422659,-113.57496109669378,-111.7745398593722,-110.31670737466594,-422.513590763236,-406.63001946675274,-392.6486120295336,-380.8030077227883,-370.8031040084686,-362.3528793489626,-355.17548399323215,-349.03351733103153,-343.73415452616763,-339.19799356910346,-335.2537685830898,-331.7695465739057,-328.67515512609845,-325.91290580700934,-323.43480025431114,-321.2008018597851,-317.33691011917006,-314.140003970748,-311.42457045713076,-309.1010392095442,-307.0618987504221,-302.9843864875818,-299.92880377842255,-135.31021325799185,-131.61664816903001,-128.61147404746072,-126.14332906717873,-124.09307455339875,-122.36849453920289,-120.89907515699593,-119.6315807739372,-118.52627576727153,-117.2941317582061,-116.2697760283977,-115.42622156623264,-114.71254692708706,-114.09654832955327,-113.55666454368637,-113.07778212472721,-112.26184687835186,-111.58899351246518,-111.02252210631356,-110.53814701723658,-110.06956349888488,-109.23116973048886,-108.60288444097303,-22.303823432334166,-20.183097534554506,-18.430902058477947,-16.965432062603416,-15.725230729387947,-14.6642134091737,-13.747566970581659,-12.948703349869536,-12.183935375116118,-11.506681106185972,-10.917143219874898,-10.39986304276651,-9.943247496984984,-9.538264452896865,-9.177567855304783,-8.85497325912983,-8.303653522480335,-7.850458861108562,-7.471087513080351,-7.148352501162812,-6.870027920666102,-6.315749295079717,-5.90102168304842,-237.4569895274629,-226.99605458180847,-218.0170398956485,-210.46375806484164,-204.11292866419342,-198.7479733434928,-194.1871644395488,-190.33626246530628,-187.1110301065304,-184.35430923590656,-181.968247957919,-179.89234699889775,-178.08492652566383,-176.4850540466772,-175.04405804800908,-173.73421683162246,-171.4410048349394,-169.29269143587248,-167.85402728995416,-166.43346038847199,-164.98419004263033,-162.51687913428646,-160.6654098506115
eng_j,17.834228433197275,49.87941476129941,0.31250233313310616,26.15905786970185,36.652710660796735,65.51812654445263,63.51292054303286,61.44490159894382,58.99173140916669,56.691497307068865,54.660986423459846,52.91209150189272,51.435196709574406,50.195317301841676,48.8246958525037,47.95114914972192,47.18508679189485,46.50688251523578,45.9041829045342,45.376473588423806,44.927247581243606,44.17300770318084,43.511586504354725,42.936659843774905,42.433521791417604,41.99115914077549,41.09761354325442,40.317203333916694,167.58410860590718,161.84794403379564,155.80275528534347,150.31393489647417,145.49878655214658,141.34343398003406,137.77169324773982,134.6933382305682,132.025608926443,129.85354674744192,127.97081524871338,126.27325730035525,124.74911452794537,123.38094021845835,122.15021393814077,121.03947946445616,119.11776392871184,117.54188523773678,116.19834081175752,115.0512275784601,114.03172653136299,111.99474209488227,110.47000519294203,52.870640178251136,51.017518092401474,49.511304927130475,48.28058589916931,47.26323554851288,46.40924708448987,45.68009363217697,45.04724950769813,44.490360272696286,43.82559885494661,43.28942067769008,42.85881461834575,42.49944163891368,42.19140405125752,41.922298778381055,41.68388876901676,41.2776888185615,40.94240250757183,40.659835555272004,40.418043577943855,40.15522928358251,39.73657674579715,39.422751446694534,11.277854880393308,10.260005611078508,9.389653358268802,8.647968848716882,8.013491548030863,7.4671836440476005,6.993376556687527,6.579500875540474,6.230548655828597,5.931382989144445,5.670009285286949,5.4400880515594965,5.2365979833900935,5.055410716327457,4.89309106706009,4.746785905894658,4.493212989257997,4.280523514452502,4.099216678048008,3.9427534821706747,3.806407047260823,3.5320537259960396,3.3253289564473882,96.74369351849795,91.79583469481189,87.19639863398251,83.25313351570003,79.92341693904076,77.11114806554177,74.72455693148855,72.83432603066063,71.33158691313105,70.04220672534856,68.92498951653224,67.96889422295422,67.16253441396888,66.44729272554984,65.78680393226003,65.17121772166485,64.06464114012448,62.87421495095729,62.289561231880825,61.579911848368994,60.73546182418261,59.50272298522612,58.57727946606085
eng_noxc,-32.616862841111235,-89.37143043661621,-0.1874922020257962,-47.79766262787351,-66.60108928916483,-59.958286492403175,-61.716973815759445,-63.01013500323496,-63.91245119365644,-64.48962027922815,-64.8439136383018,-65.04522962315193,-65.13967473422588,-65.1722441841332,-65.33583253498404,-65.33473531139165,-65.3322639721175,-65.32931362302105,-65.32454927091737,-65.31257574150949,-65.29005480410105,-65.24841248630057,-65.23829365352223,-65.23473752383566,-65.23376181526612,-65.2336754248783,-65.2339607180835,-65.23690914246924,-169.20277398828878,-173.3431519587571,-175.61249376630437,-176.90988022066415,-177.67836847352206,-178.14609128440853,-178.43710521411052,-178.62071736336333,-178.7367347654785,-178.7277653327187,-178.7073839446964,-178.70669297072547,-178.71230290137657,-178.718991097151,-178.72492627168617,-178.72964535306892,-178.7358034247673,-178.73838786446123,-178.74032422825013,-178.74147088661266,-178.74238752421905,-178.74297179712238,-178.74296006435048,-64.83664194228979,-65.93002079541944,-66.52664687929385,-66.86091120710259,-67.05043281741314,-67.15778188598756,-67.21764918961401,-67.24977662563452,-67.26555736478642,-67.1817717827413,-67.11271163822397,-67.06649096743348,-67.0357726006878,-67.01544118455938,-67.00201546597611,-66.99316057134772,-66.98349189218787,-66.97931368459108,-66.97750748614715,-66.97672287903364,-66.98051235906055,-66.97988853648444,-66.97976660209713,0.577936873943278,-0.25317073523922495,-0.7527448245776238,-1.065022322708952,-1.2651250558659015,-1.395077052184031,-1.4796879475831632,-1.5342418802106765,-1.4903461708705485,-1.431046179225767,-1.3791654592932394,-1.333554545618223,-1.2937361530407339,-1.2595466738238157,-1.2308174656436064,-1.2072109967641378,-1.1731893000668538,-1.1524550495968677,-1.1403505608238573,-1.1334730500842571,-1.1296366357579242,-1.125994793957374,-1.1252045483655144,-88.85392933880495,-91.98408099519658,-93.778236497266,-94.79852038029162,-95.37875246395267,-95.70714194287102,-95.89016811253298,-95.89386698874563,-95.83353293564551,-95.790900128358,-95.75680288466677,-95.71740069151852,-95.6696372087067,-95.63238169052734,-95.61005236044377,-95.5981574424176,-95.59014399705129,-95.6144417619652,-95.59151092919642,-95.592947349003,-95.60550044008772,-95.60567519618033,-95.60570955078066
eng_purexc_LDA_X,-4.486625988757647,-9.088819374011521,-0.2680393969979607,-5.900835783032388,-7.383976830306587,-10.093172836325042,-10.049458076056014,-9.940026945344405,-9.761150451528346,-9.592777849297393,-9.453466666771622,-9.350354144344987,-9.285097299544809,-9.24534448700704,-9.057735118403825,-9.031807155990226,-9.008992165246797,-8.989374523427633,-8.974221664544103,-8.967589903452359,-8.971454195885435,-8.983385898401009,-8.982607473117207,-8.980491944677873,-8.978386843029627,-8.976690875507371,-8.97431458804722,-8.905967039511193,-19.965302993924727,-19.604143723053507,-19.273689569446482,-18.998776695619487,-18.77647254915697,-18.60042740369484,-18.462470667616877,-18.354835178144686,-18.27106562560147,-18.247955892304613,-18.239766608263047,-18.22781293704257,-18.216308884381853,-18.206636715180945,-18.19900791471535,-18.193209875158892,-18.185785849230736,-18.18283375114823,-18.180804398630627,-18.17962890851661,-18.178596760693,-18.177749910833565,-18.177634153190233,-8.829722971944395,-8.607644913612623,-8.429536707796567,-8.28660234982616,-8.17114299766228,-8.076934846500274,-7.999160893282986,-7.9342013488905225,-7.879381861522706,-7.888778095155607,-7.902655377394582,-7.911886823937761,-7.917669123093348,-7.92104967847465,-7.922837922183981,-7.923617140169483,-7.923608651296806,-7.922833142351644,-7.9220044946523425,-7.921343735861847,-7.873381192551435,-7.872923399831997,-7.872778045076631,-2.408609368137194,-2.2119679035574356,-2.044880268458849,-1.9031782545406788,-1.782600716865901,-1.6794567849703348,-1.5907340389213205,-1.5140218304030775,-1.4984435371914107,-1.5019973838519054,-1.5091719234621583,-1.5190316944328022,-1.5304767249248619,-1.5423999039869178,-1.5538802011613042,-1.564294732077356,-1.580873734819944,-1.591953434759572,-1.5988258171761167,-1.6029004791543155,-1.6052450380004704,-1.6075464415541765,-1.6080643886117545,-13.406727032560351,-13.033212249373756,-12.686300781777462,-12.399858961544675,-12.169772888967643,-11.985802642154313,-11.838356063683397,-11.781754183999036,-11.772620622696046,-11.762119503238287,-11.755322264006281,-11.761267085556984,-11.780148367294645,-11.796571284559626,-11.806105522907197,-11.810614006229786,-11.812027180666519,-11.647530174030178,-11.80732917584735,-11.80530741378226,-11.641844213041674,-11.640432676514578,-11.640052415798639
eng_purexc_LDA_C_VWN_3,-0.3576583960096722,-0.639623332470486,-0.02214242774348268,-0.42893028137398204,-0.5331989809404029,-0.8193954007530182,-0.8004354756496939,-0.7863393880286463,-0.7750575637514618,-0.7644009179707577,-0.7535933489830697,-0.7413735640956318,-0.7272847584123198,-0.7136406992776828,-0.7470384393120567,-0.7409704433751938,-0.7365393109371237,-0.7331575554560283,-0.7302740924543344,-0.7272743062272947,-0.724239146721241,-0.7200928324619977,-0.7185562720439891,-0.7176682841636789,-0.7170177935309184,-0.7165074781319933,-0.7157829080298921,-0.7266336069468796,-1.3399069057600146,-1.3469378026884304,-1.340380713580019,-1.3329554577995677,-1.3257670165177502,-1.3193276815045234,-1.3137803757169149,-1.3091023200207756,-1.3052074609093431,-1.2984375867605418,-1.2925902940045748,-1.2887388387489456,-1.2861040497731526,-1.2842552368493467,-1.2829340908708564,-1.2819772728092318,-1.280765010419881,-1.2800807532846272,-1.2797181609801758,-1.2795310091811447,-1.2794038512847032,-1.2792806428347143,-1.2792532737698254,-0.6952287394386335,-0.6866210801868966,-0.6791160676165108,-0.6725806362916932,-0.6668686049627117,-0.6618448359453305,-0.6573942355276425,-0.6534249551053826,-0.6498669618936016,-0.6319803095077081,-0.6176638243126533,-0.6075288577348777,-0.6002030899831882,-0.5948215945486416,-0.5908162506902574,-0.5878020398151967,-0.5837591537180356,-0.5813578017516945,-0.5798984631734173,-0.5789974298858745,-0.5854167224212902,-0.5847506275682808,-0.5845373003728773,-0.33051356030225393,-0.3201154587100539,-0.310408293055723,-0.3015071580750345,-0.29340458928507057,-0.28604874119609713,-0.279375042853749,-0.2733191960487629,-0.2577448049443177,-0.241000352155647,-0.22563641194064774,-0.21158075494396364,-0.1989073398406355,-0.18770807745301923,-0.17801985898235462,-0.16979954961637178,-0.15727102677375782,-0.1488669707200718,-0.14333754732121226,-0.1397225424725462,-0.137360207444415,-0.13442863055672255,-0.13340025973832773,-1.0040762968310002,-0.9916354574612498,-0.9793981996469916,-0.9686104769312734,-0.9593080553859116,-0.9513176667263099,-0.9444468694290153,-0.9310746106246325,-0.9169739802419823,-0.9067666825285756,-0.8986407943467777,-0.8907516693519583,-0.8828380324412575,-0.8765258254510866,-0.8719494552629717,-0.8686217611142273,-0.8642939581248079,-0.8860546972853218,-0.8602770725035823,-0.8593591838579502,-0.8838647406667041,-0.8832633503260361,-0.8830628828041738
eng_purexc_LDA_C_VWN,-0.35781340961675423,-0.6396861627282427,-0.022142427743493797,-0.42920248676062395,-0.5333570317173849,-0.8193954007530182,-0.8005342020038881,-0.7864510455042703,-0.7751809616819463,-0.7645390993129324,-0.7537524491442048,-0.7415647477958274,-0.7275168813096572,-0.7139084223786943,-0.7471905569117311,-0.7411519963250633,-0.736739382718836,-0.7333703409672623,-0.7304983011147408,-0.7275144225375922,-0.7244998116906486,-0.7203819894305515,-0.7188540861047008,-0.7179702440719922,-0.7173221669960671,-0.7168135094532416,-0.7160911951200972,-0.7268358970561934,-1.3399585275602546,-1.3469378026884304,-1.340380713580019,-1.3329554577995677,-1.3257670165177502,-1.3193276815045234,-1.3137803757169149,-1.3091023200207756,-1.3052074609093431,-1.2984751923172397,-1.292662676685209,-1.28883080505054,-1.286207646261731,-1.2843660480713692,-1.2830495359168836,-1.2820957774611657,-1.2808869974719213,-1.2802049709428065,-1.279843241284926,-1.2796564790659748,-1.27952939783746,-1.2794062538305104,-1.2793789264647697,-0.6952287394386335,-0.6866210801868966,-0.6791160676165108,-0.6725806362916932,-0.6668686049627117,-0.6618448359453305,-0.6573942355276425,-0.6534249551053826,-0.6498669618936016,-0.6320878265782648,-0.6178167987179555,-0.6076969887895783,-0.6003754314419351,-0.5949939848745431,-0.5909871972476337,-0.5879711341034661,-0.5839248300375908,-0.5815209754472617,-0.5800599443303064,-0.5791578041194844,-0.5855150599773102,-0.5848476443531984,-0.5846338314969233,-0.33051356030225393,-0.3201154587100539,-0.310408293055723,-0.3015071580750345,-0.29340458928507057,-0.28604874119609713,-0.279375042853749,-0.2733191960487629,-0.2578444702823885,-0.24119129923636592,-0.22587715646778633,-0.21183798561278067,-0.1991577891933478,-0.18793768196001595,-0.17822185473564678,-0.16997225192074256,-0.15739093296005158,-0.14894758461184457,-0.143391442398963,-0.1397589233688566,-0.1373852188866958,-0.13443953215765417,-0.13340571118330533,-1.0040762968310002,-0.9916354574612498,-0.9793981996469916,-0.9686104769312734,-0.9593080553859116,-0.9513176667263099,-0.9444468694290153,-0.93115606526228,-0.9171539302528784,-0.9070102966753396,-0.8989328657508527,-0.8910949125103262,-0.8832368608350342,-0.8769687359796764,-0.8724229339621018,-0.8691159714153961,-0.8648120069902286,-0.8863640596832052,-0.860812812885443,-0.859898242415362,-0.8841805629787242,-0.8835808173169609,-0.8833809222931938
eng_purexc_LDA_C_VWN_RPA,-0.4700642079056964,-0.8179669333200572,-0.04003663283936978,-0.5606446358718954,-0.6880628879771177,-1.0554688829254302,-1.0349690735369117,-1.0203915222682978,-1.0082333796464165,-0.9966351480647714,-0.9848653498615734,-0.9716444043501807,-0.9566038053115362,-0.9422348649185341,-0.9758881796380455,-0.969135696079554,-0.9642153352206061,-0.9604524240491419,-0.9572241158363587,-0.9538348076413977,-0.9503756193015748,-0.9456588690879117,-0.943881178878903,-0.9428429133729644,-0.9420889075657662,-0.9415031207935874,-0.9406731835804746,-0.9529740397191917,-1.702035800224289,-1.710164281494039,-1.7033971910199557,-1.6955487700557623,-1.6878657420683327,-1.6809372302837589,-1.6749395691209747,-1.6698616813341056,-1.6656190206524684,-1.6578319151114762,-1.6510969832347948,-1.64670141364068,-1.6437113661388698,-1.641619613978965,-1.640126599100855,-1.6390451349107014,-1.6376729512718449,-1.6368987974525973,-1.6364874369249065,-1.6362732713489683,-1.6361250225065076,-1.6359780120748584,-1.6359438391809278,-0.8932461231222576,-0.8839297323646997,-0.8757792936393044,-0.8686560899994485,-0.8624068774826862,-0.8568896478793162,-0.8519832295811198,-0.8475910177372091,-0.8436396069263117,-0.8237456992111677,-0.8086129820036713,-0.7982300706337013,-0.7908478009638084,-0.7854722713089255,-0.7814885778788141,-0.7784951681361332,-0.7744763392488657,-0.7720788150139396,-0.770612680121697,-0.7697010796850975,-0.7771956554454748,-0.7765158053580075,-0.776292787044031,-0.44250241268717816,-0.4311172990027233,-0.42043169181936535,-0.4105877281370187,-0.4015889782537026,-0.3933874756048169,-0.38591905349084704,-0.3791182999678972,-0.3615820507260949,-0.3432364901651707,-0.32709422180518455,-0.3129215228164313,-0.3005863332245166,-0.28998920291016833,-0.28101518190374947,-0.2735165191193166,-0.2622391809934062,-0.2547325283128123,-0.24979160902581143,-0.24654555545920334,-0.2444086697375682,-0.24171944559438047,-0.24075288920190668,-1.2833946924892439,-1.2700280133767252,-1.2568381642041375,-1.2451784438055158,-1.2350943706597424,-1.226406057599452,-1.2189119119938596,-1.203712211121352,-1.1876719698146758,-1.1761809682858064,-1.1670623568588852,-1.1581654911425783,-1.1492194830412379,-1.142104228603764,-1.136964025991417,-1.1332418706359357,-1.1284291434794411,-1.1533631497162582,-1.1239848706147968,-1.1229674782620622,-1.1508972109387565,-1.1502231621529688,-1.1499969453567929
eng_purexc_LDA_C_PW,-0.35601103298189096,-0.63660404359127,-0.02218417172991353,-0.4267845119539706,-0.5306860883879111,-0.8157391052062587,-0.7966770252402818,-0.7826759108382821,-0.7714881377258213,-0.7609166300687374,-0.7501789966147248,-0.7380091976294507,-0.7239588713274953,-0.71035773370851,-0.7438251455317655,-0.7377467790707435,-0.7333160142735493,-0.7299387158219491,-0.7270586539848519,-0.7240544975525273,-0.7210053237357278,-0.7168345239523055,-0.7152870301997458,-0.7143918866015666,-0.7137361546698008,-0.7132218197626382,-0.7124920207533756,-0.7234809313401266,-1.3331973447731393,-1.340364651132482,-1.3338513500784155,-1.326496054149727,-1.3193843319125633,-1.3130187003514129,-1.3075379799125344,-1.302918050382529,-1.299072837293109,-1.2923326457915287,-1.2865047941390322,-1.282669371989954,-1.2800468944073013,-1.278206980500564,-1.2768919133967833,-1.2759389900850193,-1.2747301412479106,-1.2740441627393817,-1.2736805219576643,-1.273492943104654,-1.273365786414462,-1.2732422560992398,-1.273214768881602,-0.6920384716520741,-0.6835298131619093,-0.6761154833966211,-0.669661996772253,-0.6640234386283217,-0.6590652898496179,-0.6546731872705673,-0.6507559954596733,-0.6472443138688603,-0.6292350742297772,-0.6149401923899092,-0.6048617712286162,-0.5975902391937573,-0.5922533926968031,-0.5882829219763529,-0.585295299011037,-0.5812873933791575,-0.5789054008212108,-0.5774566045483076,-0.5765612439982196,-0.5830053825671992,-0.582343162639617,-0.5821307926770746,-0.3294217163677759,-0.3191651308994858,-0.30959138593684,-0.3008122737692453,-0.29281948852866946,-0.28556145871249977,-0.2789743643235618,-0.2729948357379254,-0.2572617518439734,-0.2403683963097719,-0.22494453216120394,-0.2109006207061081,-0.19828822804987478,-0.18717835901736177,-0.1775911131989016,-0.16947159169680046,-0.15711947691343037,-0.1488465812316161,-0.14340805557522548,-0.1398542513794033,-0.1375326646120894,-0.13465267768255146,-0.13364271380448944,-0.999347861397051,-0.9870406217500542,-0.9749383584187876,-0.964274417291574,-0.9550829702347845,-0.9471911619642955,-0.9404074600102,-0.9270234929522589,-0.9128768460141355,-0.9026502782428762,-0.8945155512817119,-0.8866129041867568,-0.8786733939113448,-0.8723329141860938,-0.8677329925634092,-0.8643878358941389,-0.8600390183269505,-0.8819659814013264,-0.8560041483482054,-0.8550811690540737,-0.8797672568101144,-0.8791599532498258,-0.8789569483569831
