,B+1,B+3,Be+0,C+2,C+4,F+5,F+7,N+3,N+5,Ne+0,Ne+6,Ne+8,O+4,O+6
APFD,-24.31182990501011,-22.00377746588744,-14.645511323336379,-36.481972537124534,-32.36994055327813,-87.99846404627505,-75.46711675261415,-51.15358083494027,-44.73583504128668,-128.89876766961527,-110.17124254612858,-93.83258354195975,-68.32585982270405,-59.10154292379006
B1B95,-24.33749037302391,-22.034460469560706,-14.660558855953067,-36.51801335190729,-32.40905766224286,-88.06379257561849,-75.5302278703807,-51.19967656049028,-44.78313678797064,-128.96318325048725,-110.24580693824815,-93.90338552148425,-68.38170951894196,-59.15683047324394
B3LYP,-24.329668951373367,-22.013104918657632,-14.659307153083557,-36.502220118105996,-32.3791105516703,-88.02083705620839,-75.4752262714644,-51.17517148492856,-44.744720296635556,-128.94216935670835,-110.19340646254933,-93.84024374408769,-68.34808606699661,-59.1100662311867
B3LYP*,-24.32158003746099,-22.000643731097092,-14.655727521771968,-36.489452244948154,-32.36231176614229,-87.99359733995198,-75.44530379704692,-51.1576313875397,-44.72356092773889,-128.9278429241755,-110.1612690480974,-93.80592587858311,-68.3257153074646,-59.08453074652203
B3LYPV1R,-24.344181330394225,-22.020981826702517,-14.67323942390053,-36.517116065942425,-32.38710201660929,-88.03641690692501,-75.48344109233672,-51.19035012019894,-44.752801459964324,-128.98043836911603,-110.20913690606194,-93.84851035249295,-68.36348592783932,-59.11822025552426
B3P86,-24.339489368164745,-22.023369927628565,-14.671762245028916,-36.51167563595725,-32.39365830093023,-88.03771199044401,-75.50495615870459,-51.18595748736446,-44.76408399055761,-128.98271846143734,-110.21444522480067,-93.87528278710208,-68.36145900150672,-59.13453944537358
B3PW91,-24.326122362210715,-22.017323668893955,-14.658396448080303,-36.497259090533895,-32.38443235599007,-88.0150691068573,-75.48332798949832,-51.16954680989848,-44.751054942670734,-128.93827960834602,-110.18788882870308,-93.84911789755107,-68.34225144647733,-59.11732460604916
B97-1,-24.340354575640994,-22.034151101533077,-14.665154906226057,-36.51884895769821,-32.407557922644656,-88.05801544967709,-75.52506018981208,-51.19836537293503,-44.78042559651383,-128.9471821977875,-110.23775787217681,-93.89698139750669,-68.3781824679549,-59.15289458696157
B97-2,-24.339422147281933,-22.04035063088765,-14.665937702831679,-36.51634252484982,-32.414747002101606,-88.05084193096553,-75.53509083207308,-51.194320246555606,-44.788580929391074,-128.9534838834914,-110.22899187783726,-93.90792935463419,-68.37257971728006,-59.161995775196075
B97-3,-24.33927315516935,-22.03928317136901,-14.665967575686835,-36.51559105216073,-32.412424656779535,-88.04759368115556,-75.52866324016166,-51.19281406464274,-44.78493346633955,-128.94702100981408,-110.22476130403194,-93.90005915069663,-68.3702546722278,-59.15697730299472
