,B+1,B+3,Be+0,C+2,C+4,F+5,F+7,N+3,N+5,Ne+0,Ne+6,Ne+8,O+4,O+6
APFD,-24.31193222977173,-22.00383822987929,-14.645592998190068,-36.482069635501084,-32.370003458249414,-87.99859003670149,-75.46715712833435,-51.153678811121324,-44.73589413673135,-128.89897569554878,-110.17138928809693,-93.83261277555233,-68.32597185865517,-59.10159401593858
B1B95,-24.337716140978436,-22.034546130411705,-14.66070050291498,-36.51825075861309,-32.40913962832771,-88.06401392970791,-75.5302760646836,-51.19990628148948,-44.783209940532934,-128.96342466445728,-110.24603365521949,-93.90342108019212,-68.38193353519334,-59.156891571797956
B3LYP,-24.32979057280332,-22.013169870902736,-14.659378570489618,-36.5023460101235,-32.37917537452795,-88.0209659604805,-75.47527180641565,-51.175298125578976,-44.74478092324349,-128.94239721955284,-110.19354021063847,-93.84028128928246,-68.34821585353808,-59.110119799248665
B3LYP*,-24.32171411347876,-22.000717984970237,-14.655805462042535,-36.48959229453878,-32.36238637385491,-87.99374213304063,-75.44535803645968,-51.157773395927975,-44.72363141175077,-128.92809559123958,-110.16141827082703,-93.80597111706484,-68.32586148925076,-59.08459386810152
B3LYPV1R,-24.34430284819709,-22.02104672126695,-14.673310781730006,-36.51724185184077,-32.38716678550386,-88.03654571642889,-75.48348659620619,-51.190476649128804,-44.75286203897405,-128.98066623265237,-110.20927057270606,-93.84854787424665,-68.36361560539017,-59.11827378325202
B3P86,-24.339564645764092,-22.023446157651364,-14.671818615958138,-36.51175280698833,-32.39373022553672,-88.03779148700686,-75.50499884570186,-51.18603121507658,-44.76414789961502,-128.98292756599636,-110.21453777953997,-93.87531474131978,-68.36153382734976,-59.134592990193944
B3PW91,-24.326227699192856,-22.017400044143884,-14.658481097546181,-36.497359484632156,-32.38450892078034,-88.01517620322846,-75.48337809758111,-51.16964224781866,-44.751125934537626,-128.93850007576185,-110.18800962303521,-93.8491562931288,-68.34235180601219,-59.11738606793409
B97-1,-24.340434935956342,-22.034187146666063,-14.665238864978221,-36.51892572551218,-32.407592520346334,-88.05815278072883,-75.52507558052707,-51.198451851286244,-44.780455376658615,-128.94735715117105,-110.23793074443533,-93.89698994097566,-68.37829442243029,-59.1529177159324
B97-2,-24.3394925176891,-22.0403572860961,-14.666015407468244,-36.516414705219596,-32.4147575344995,-88.05102688583065,-75.53512659234572,-51.19440658381247,-44.7885974400755,-128.95364741169254,-110.2292528368101,-93.90797848352413,-68.3727092566301,-59.16202100948435
B97-3,-24.33940291106911,-22.03943950111307,-14.66609196531926,-36.515725548653506,-32.412588993655405,-88.04772504425806,-75.52881691569614,-51.19295122819628,-44.785100057909354,-128.94721857600376,-110.22489184344876,-93.9002058066794,-68.37039187778356,-59.15713876730248
B97-K,-24.358132098020295,-22.048716374041735,-14.673794421160204,-36.54623923149491,-32.428004512307744,-88.1159938211646,-75.56356296862505,-51.23571635622652,-44.806831836789144,-128.93758431099695,-110.30630191572378,-93.94159930277075,-68.4257565339569,-59.18532320344595
BC,-24.344184635337797,-22.04665079331232,-14.666326260317113,-36.52529042926117,-32.425253320234916,-88.07251123213246,-75.55833410207771,-51.20745324161372,-44.80331451387476,-128.93772562190108,-110.25498405192943,-93.93544778006549,-68.38996560696589,-59.180976363538065
BHHLYP,-24.33189117989255,-22.017875744674257,-14.661080566493151,-36.50472359551963,-32.385567354846955,-88.02398746696245,-75.48667122233643,-51.17790756328554,-44.752848134497924,-128.92859878711016,-110.19675492299066,-93.85334123869323,-68.3510370924952,-59.11985545191828
BLYP,-24.336571719907393,-22.019952664324375,-14.661486215300615,-36.51423943272634,-32.389603509587076,-88.04974666418765,-75.49801507955664,-51.1926016471913,-44.75912406224803,-128.97270842817383,-110.2283187349513,-93.86743408363303,-68.37116139980544,-59.128582719248406
BMK,-24.33082039326652,-22.042907955139814,-14.65556064850386,-36.50955243630383,-32.41891169295882,-88.04998121468984,-75.54424400484598,-51.18938747998918,-44.79438942030085,-128.937941001252,-110.23025156576786,-93.9187541280243,-68.3696541845931,-59.16947315911814
BOP,-24.342005419708006,-22.039200477799596,-14.665940936939293,-36.52114170376631,-32.41092954320545,-88.06123609077184,-75.52337162819242,-51.20108575515694,-44.782083400814955,-128.96692023983167,-110.24115664325076,-93.89369471656617,-68.38119608324118,-59.15285768564921
BP86,-24.330549912557366,-22.022760448045318,-14.659423390116896,-36.507320765322234,-32.39757376581297,-88.05118799184274,-75.52448733639098,-51.18699113601559,-44.772942799704346,-128.9746725666982,-110.23473429366256,-93.90040445416076,-68.36848280281711,-59.14863085091619
BPBE,-24.321386851889418,-22.01639207279844,-14.65160016596704,-36.49546844350535,-32.386225937524465,-88.02535222776616,-75.49519817507424,-51.171331990221084,-44.75594444348673,-128.93644433238245,-110.20292048061035,-93.86477255021691,-68.34809693733436,-59.125592509307836
BPW91,-24.33225611100524,-22.02524870431592,-14.660346039966498,-36.50823869353835,-32.39628874509593,-88.04287078167674,-75.50816559515557,-51.18582457286048,-44.76707690852685,-128.9678486806193,-110.22178573530095,-93.87854072011768,-68.36416443265082,-59.13768640296256
BPZ81,-24.48155638757502,-22.131907074645248,-14.79041578898961,-36.67331344358576,-32.5115788326797,-88.24362264047201,-75.64321851782891,-51.36430788125884,-44.88979890577127,-129.32738890561853,-110.43207747315749,-94.01882978622086,-68.55439491035028,-59.26693002992959
BVWN,-24.48272650158184,-22.133475482448034,-14.79142881411873,-36.67472989422174,-32.51310095558782,-88.24578900088035,-75.6444334248384,-51.36602939071359,-44.89123192336468,-129.33360633279923,-110.43435464147935,-94.01993231271625,-68.55638301006015,-59.268257075947915
BVWN1RPA,-24.55915281529719,-22.174936642087804,-14.864835611372778,-36.75316070773757,-32.55516370493826,-88.32780246004953,-75.68767017546827,-51.445939912217796,-44.933765991087355,-129.53501501463322,-110.51715815378519,-94.06344142769672,-68.63745268931538,-59.311174143251016
