,SCF,Corr2,CorrD,CorrD(T),MP2,CCSD,CCSD(T)
56,9.073134458308727,-0.4573194440762026,0.10933545576501873,0.0828981750500718,8.615815014232524,8.725150469997542,8.698713189282596
93,3.642515099895808,-0.10130420740242432,-0.004975649093148875,0.0450324271509585,3.5412108924933836,3.5362352434002347,3.586243319644342
97,3.341172676467428,0.017976048180985395,-0.021253776699194565,0.011115899323772573,3.3591487246484135,3.337894947949219,3.370264623972186
103,4.072306277275957,-0.27124770049027747,0.02376198316197496,0.025633434538290173,3.8010585767856795,3.8248205599476544,3.8266920113239697
112,9.9424508784946,0.7119755013189133,-0.40543527030389886,-0.052622349225249485,10.654426379813515,10.248991109509616,10.601804030588266
117,3.272333587244391,0.12899732873295272,-0.05589219485877785,0.024218309465332977,3.401330915977344,3.345438721118566,3.4255492254426767
119,11.754085354632958,-1.9250311912283908,0.09982898165238623,-0.09781120662591604,9.829054163404567,9.928883145056954,9.731242956778651
129,7.719313841867521,0.4467408041757319,-0.05744872593673761,0.05258101663759029,8.166054646043253,8.108605920106516,8.218635662680844
142,3.406130787700278,-0.2108309893230072,0.008391256215122933,0.011221302362257667,3.195299798377271,3.203691054592394,3.2065211007395287
158,1.4134458092661757,0.08878225423260488,0.008513111416761155,0.039386594277957536,1.5022280634987806,1.5107411749155417,1.541614657776738
159,6.459402790660086,1.2213516888744655,-0.34991821117593,-0.08763359314672974,7.680754479534551,7.330836268358621,7.593120886387822
205,7.879737048848493,-0.25021150687428895,-0.20782905811645885,-0.016825974885808538,7.629525541974203,7.421696483857745,7.612699567088395
213,3.7141275980338806,0.018754217792320144,-0.028143712482904187,0.019833727299028096,3.7328818158262007,3.7047381033432965,3.7527155431252286
223,3.067174106214076,-0.09435325410488014,0.04139788009640605,0.1013871960012866,2.9728208521091957,3.0142187322056015,3.0742080481104823
245,1.641223018836135,0.0807501869942653,0.019566546099318988,0.06661420312371101,1.7219732058304003,1.7415397519297193,1.7885874089541112
256,0.714620787830153,-0.00676667594792579,-0.017283724047235636,-0.001692207942707536,0.7078541118822272,0.6905703878349916,0.7061619039395197
257,1.6271285189792115,0.11128064090207465,-0.026621381021356517,0.0027616115842540256,1.738409159881286,1.7117877788599296,1.74117077146554
267,8.381435412180226,1.0735539468868756,-0.28965862793565167,-0.15860632666676966,9.4549893590671,9.16533073113145,9.296383032400332
276,8.873532786514236,-1.1383600141622034,-0.08764963868837747,-0.11652184281281082,7.7351727723520325,7.647523133663655,7.618650929539221
281,6.0460831580459,-0.30449634858788,-0.052253286024117745,0.011787356832187602,5.7415868094580205,5.689333523433903,5.753374166290208
282,4.6670988746217255,-0.20758308084654745,-0.013541237959736992,0.010276227502796938,4.459515793775178,4.44597455581544,4.469792021277975
287,7.031950467360867,0.2569459954301658,-0.21926122947167828,-0.04984544575825991,7.288896462791032,7.069635233319354,7.239051017032772
306,3.906155729848996,0.6796511702095962,-0.157641383451788,-0.07929321861097603,4.585806900058592,4.428165516606804,4.506513681447616
318,4.166996967954921,0.17135044076796122,-0.07466200877399483,-0.010377997677071657,4.338347408722882,4.263685399948887,4.32796941104581
332,2.123084667151605,0.5192197611244269,-0.13422359930174127,-0.02656160555122786,2.6423044282760317,2.5080808289742906,2.615742822724804
336,3.0869689440295454,0.49617300521494595,-0.10814748923203185,0.021188688975338637,3.5831419492444914,3.4749944600124594,3.60433063821983
342,7.240158636291221,0.5447424674673629,-0.20445335737320872,0.00522539380922703,7.784901103758584,7.580447746385375,7.790126497567811
346,8.718058730589922,0.3625774891661451,-0.2966788498212505,-0.012988121471141168,9.080636219756068,8.783957369934818,9.067648098284927
351,0.3800183352868849,0.11110035451039797,-0.03141690748738319,-0.010721938067130787,0.49111868979728285,0.45970178230989966,0.48039675173015206
353,0.1807840425062415,0.05555063830081906,-0.009919872198530027,-0.0012565650738325144,0.23633468080706055,0.22641480860853053,0.23507811573322804
361,8.117779134634008,-1.2615783863111298,0.22694888554991532,0.11209398900315036,6.856200748322878,7.083149633872793,6.968294737326028
381,1.1959833544463434,-0.16919556443329767,0.055198776257345324,0.012878421496724147,1.0267877900130458,1.0819865662703911,1.03966621150977
390,17.990328183734068,-0.22099166099776504,-0.9659928146101139,-0.2635165512404416,17.769336522736303,16.80334370812619,17.50581997149586
393,4.288791188030176,-0.06507082207378964,-0.07201981983643857,0.05656424917649662,4.223720365956386,4.151700546119947,4.280284615132883
397,3.4922323731375307,0.24115026323464767,-0.03867738419670312,0.04776283812258241,3.7333826363721783,3.694705252175475,3.781145474494761
399,2.0249319335942464,-0.27388533109277496,0.08239376777359826,0.10738922702676484,1.7510466025014715,1.8334403702750697,1.8584358295282364
425,4.144436364762261,0.14159152166824082,-0.04729231344574164,-0.008244527407885727,4.286027886430502,4.23873557298476,4.277783359022616
438,5.709278120596303,-0.013224612662550777,0.08270990609766715,0.15062082934867177,5.696053507933752,5.7787634140314195,5.8466743372824235
445,2.293473440680104,-0.053058472440460865,0.03944972645016326,0.03385906064855373,2.240414968239643,2.2798646946898065,2.274274028888197
460,8.753273221681406,0.7541137823268931,-0.14748849810568218,0.0004153641887107166,9.507387004008299,9.359898505902617,9.50780236819701
470,2.522560760554957,-0.3028070713048587,0.10721085206449352,0.10646078096437683,2.2197536892500986,2.326964541314592,2.3262144702144756
489,2.1785676394916718,0.22647003010346436,-0.058082962539033535,-0.005235450478585541,2.4050376695951363,2.3469547070561028,2.399802219116551
529,2.364531383529398,0.5543143165118566,-0.16471637289972002,-0.03391643697096625,2.9188457000412544,2.7541293271415346,2.8849292630702883
533,2.701980538899551,0.08901343690098973,-0.020823081031715922,0.024349912232682937,2.7909939758005406,2.7701708947688246,2.8153438880332238
556,2.564941933532168,0.6209687321258937,-0.1394132433181494,-0.02664912078702809,3.185910665658062,3.0464974223399124,3.1592615448710335
580,4.017160607716095,0.12581255458249757,-0.0919744848378437,0.003492083337501743,4.142973162298593,4.050998677460749,4.146465245636095
599,0.935525992211662,-0.09507187222203109,0.012862423063516842,0.004518901225625488,0.8404541199896309,0.8533165430531477,0.8449730212152564
617,11.963168075932323,0.03683181168024954,-0.4762938076557964,-0.013412355163066948,11.999999887612573,11.523706079956776,11.986587532449505
654,4.371046320229898,0.17982844822188437,-0.14402236804550778,0.009218770116820107,4.5508747684517825,4.406852400406275,4.560093538568602
655,3.778122087914164,0.033701228634156,-0.04749583279576106,0.04521009322369861,3.81182331654832,3.764327483752559,3.8570334097720185
670,6.107891583760819,-0.2410886736935511,-0.0789484113723507,0.06961677627878604,5.866802910067268,5.787854498694917,5.936419686346054
710,3.562872083816317,0.5108756977087339,-0.09814183437515252,0.02268000335717664,4.073747781525051,3.9756059471498983,4.096427784882228
722,2.457562963960344,0.4288087976602652,-0.1626252345834943,-0.03468160168324387,2.886371761620609,2.7237465270371146,2.8516901599373647
753,3.827029994826644,0.2886615520345376,-0.0729155201229098,0.012998592940877633,4.115691546861182,4.042776026738272,4.1286901398020595
757,3.7673957609745736,-0.1879106275609161,0.07020519553182131,0.03529378395260603,3.5794851334136575,3.649690328945479,3.6147789173662637
761,7.204050410944396,0.3431531189814416,-0.18533764659749483,0.06958693418033786,7.547203529925838,7.361865883328343,7.616790464106176
762,2.732112776334497,-0.3993372296117919,0.14021090029269406,0.08324883976171484,2.332775546722705,2.472986447015399,2.41602438648442
765,4.948185942530682,0.1598015661473604,-0.030200173380883093,0.06638274329710302,5.1079875086780415,5.077787335297159,5.174370251975144
767,4.96104933708332,-0.08130707228970968,0.10634222003075465,0.1350535791205081,4.87974226479361,4.986084484824365,5.0147958439141185
768,4.355661291273779,1.0316112450661252,-0.2887000338777666,-0.06454967076092066,5.387272536339904,5.098572502462138,5.322722865578983
769,3.5379933976716216,0.8557840123982859,-0.20002114389212666,-0.05020519190505135,4.393777410069908,4.193756266177781,4.343572218164857
818,4.180855513999973,-0.26047356171596997,0.020832294028672985,0.03180713472058546,3.9203819522840027,3.9412142463126756,3.952189087004588
820,2.52329823855623,-0.09485703145804258,-0.01232808894424369,-0.005415802886826806,2.4284412070981873,2.4161131181539437,2.4230254042113604
833,6.259127108456761,-0.6159431074326904,-0.007994986710203331,0.0342635734253137,5.643184001024071,5.635189014313868,5.677447574449385
841,3.813873248312426,0.17393215392864309,0.001443402677101641,0.06029762387972191,3.9878054022410687,3.9892488049181702,4.04810302612079
843,4.420389249376381,0.036304477394025834,0.01322878508648619,0.03197021943922744,4.456693726770407,4.469922511856893,4.488663946209634
846,4.669077996966215,-0.062494335573449675,-0.0005722945351957352,0.10572985470592988,4.606583661392765,4.60601136685757,4.712313516098695
847,5.278261118759889,0.04425118139986039,-0.0680558457600036,-0.021089857279761245,5.322512300159749,5.254456454399746,5.301422442879988
852,7.998973911368845,1.4648818916678163,-0.5066104655306624,-0.2874140654783901,9.463855803036662,8.957245337505999,9.176441737558271
884,2.002553227178895,-0.0649586865536905,0.012467307793655949,0.05590521990738756,1.9375945406252046,1.9500618484188605,1.9934997605325921
886,4.558309832441398,-0.1079200059137845,-0.03918431727416178,0.02775921662111279,4.450389826527614,4.411205509253452,4.4781490431487265
890,1.1542101322936371,-0.02431537842418454,0.010108263035981972,0.018953076254215957,1.1298947538694526,1.1400030169054345,1.1488478301236686
909,8.988484604834554,0.2641199276096731,-0.33878968834460615,-0.06269953483743858,9.252604532444227,8.91381484409962,9.189904997606789
936,3.6717491422612665,0.4760309318568616,-0.16147811250345442,-0.026968220440611833,4.147780074118128,3.9863019616146733,4.120811853677516
969,2.2837932657050706,0.05111261762335067,-0.02663982862248861,0.0016608091127411643,2.334905883328421,2.3082660547059324,2.336566692441162
974,1.3827950159422129,-0.267275277141685,0.0700067740396373,0.07493758507268337,1.1155197388005278,1.185526512840165,1.1904573238732112
976,7.983533756463382,1.2073425992391777,-0.3461871260108192,-0.22826761862669898,9.19087635570256,8.84468922969174,8.962608737075861
987,5.656071269825784,0.6392717468095491,-0.11691825097882054,0.11652321706516844,6.295343016635333,6.178424765656512,6.4118662337005015
989,2.798786555696697,-0.23513083388364708,0.06654177785484167,0.06293462993893992,2.56365572181305,2.630197499667892,2.62659035175199
998,0.2218350165503655,0.0597346240316054,-0.007511721958144871,0.004682296148637682,0.28156964058197087,0.274057918623826,0.28625193673060856
1003,2.625906405555656,-0.021130215936701703,-0.04355995486610098,-0.030960623705741666,2.604776189618954,2.561216234752853,2.5738155659132125
1014,6.197823635193417,-0.7239208989767523,0.1066730520699336,0.048059454692214607,5.473902736216664,5.580575788286598,5.521962190908879
1019,4.034602086079944,-0.0031777759584912684,-0.02358635143871717,0.05306103579510041,4.031424310121452,4.007837958682735,4.084485345916553
1032,0.4463002146736862,0.11978069529979851,-0.017101101986949464,0.0030030494323319626,0.5660809099734847,0.5489798079865352,0.5690839594058167
1046,8.419987017676876,1.6574262697079702,-0.3535456939137941,-0.3559086389110858,10.077413287384847,9.723867593471052,9.721504648473761
1047,4.759639829570598,0.13403570111111626,-0.034669803748127996,0.060595295022260694,4.893675530681715,4.859005726933587,4.954270825703976
1048,7.691208253105441,0.08374257689394764,-0.09931232763439406,0.0498365090038466,7.774950829999389,7.675638502364995,7.824787339003235
1049,10.11670133632308,1.237274118942323,-0.33171274003698387,-0.05296724289860761,11.353975455265404,11.02226271522842,11.301008212366797
1074,4.132529948130558,0.24132441908491567,-0.1659949588673598,-0.12275682330313838,4.373854367215474,4.207859408348114,4.251097543912335
1085,4.507609416459536,-0.05445733398307992,-0.004693158445175004,0.05219607348777762,4.453152082476456,4.448458924031281,4.505348155964234
1108,9.614699911249064,1.5426556634338124,-0.2697009677340051,0.0426860788598584,11.157355574682876,10.887654606948871,11.200041653542735
1109,10.175077129527883,-0.06670698655555005,-0.3495199104997031,-0.06428507411003331,10.108370142972333,9.75885023247263,10.0440850688623
1115,6.8454143603721365,1.0061775454938642,-0.2866318003522455,-0.12698260699186567,7.851591905866001,7.564960105513755,7.724609298874135
1117,3.020180748928693,-0.09061982314241827,0.01440007031161083,0.03880747399813247,2.9295609257862747,2.9439609960978856,2.9683683997844073
1119,13.7163852946791,2.164867074470173,-0.42857233567181546,0.01641677046438367,15.881252369149273,15.452680033477458,15.897669139613656
1135,3.1501164361156038,0.06233354240899065,-0.044697380354466444,-0.022110271949572595,3.2124499785245946,3.167752598170128,3.190339706575022
1149,3.021954974299081,0.20627465614546403,-0.044977474891642444,0.0009424857052086942,3.2282296304445453,3.183252155552903,3.229172116149754
1193,4.411707892399076,0.24816675558487955,-0.053200334696015046,-0.025936407748015054,4.659874647983956,4.60667431328794,4.633938240235941
1194,6.249144754419524,-0.08837424065598735,0.05362979106297227,0.07651276366391598,6.160770513763537,6.214400304826509,6.237283277427453
1197,3.9494560075978726,-0.06936659927119432,-0.01873588702592766,0.009881355672546435,3.880089408326678,3.8613535213007504,3.8899707639992247
1207,12.377925671124707,-0.33943607590314007,-0.3707921914647222,0.10453029343395147,12.038489595221566,11.667697403756843,12.143019888655518
1209,3.4935679751977387,0.047179898271898224,-0.041882112184922084,0.002350564454161439,3.5407478734696367,3.4988657612847147,3.543098437923798
1241,4.317825232637085,-0.14463291738970033,0.05238265979294004,0.0433481387660241,4.173192315247384,4.225574975040324,4.216540454013408
1250,2.116685142845065,-0.0004004685356537499,0.0025916566434147988,0.04988610813154738,2.1162846743094113,2.1188763309528262,2.166170782440959
1251,5.240146145448633,1.1970572325046671,-0.3399267483582404,-0.12162143945644777,6.4372033779533,6.09727662959506,6.315581938496853
1256,14.828620693199197,2.363226107755484,-1.083098235033365,-0.6176956930161928,17.191846800954682,16.108748565921317,16.57415110793849
1314,1.887901055388761,0.08650247869496114,-0.0739138005758009,-0.044545409652404756,1.974403534083722,1.9004897335079212,1.9298581244313173
1315,2.2220879567390908,-0.0012906494130563058,-0.005472130654461452,0.020201595248514895,2.2207973073260345,2.215325176671573,2.2409989025745496
1332,6.294977156853618,0.12284971819128748,-0.03270594240376988,0.13587640594002573,6.417826875044906,6.385120932641136,6.553703280984932
1344,2.7543530019255287,0.1881615600775956,-0.09250812634136961,-0.0368152524168518,2.942514562003124,2.8500064356617547,2.9056993095862724
1361,3.3202338433179523,-0.0664895445057081,0.01385570306799666,0.05691154733856021,3.2537442988122445,3.267600001880241,3.3106558461508047
1367,3.268456283870487,-0.05289165477908183,-0.00033648056606068525,0.03906125323186822,3.2155646290914053,3.2152281485253447,3.2546258823232734
1378,5.618937228657797,0.5678803408821297,-0.26813348100028495,-0.05628198801295086,6.186817569539927,5.918684088539642,6.130535581526976
1382,2.40466973152482,-0.22501639202793758,0.017114720579375176,0.0057237239837574635,2.1796533394968822,2.1967680600762574,2.1853770634806398
1391,4.40642522226353,0.6454616817669111,-0.2274792632821682,-0.12933452889668356,5.051886904030441,4.824407640748273,4.922552375133757
1395,12.635879180477367,0.13168282445899324,-0.484213042701182,-0.09663446812424158,12.76756200493636,12.283348962235179,12.670927536812119
1396,16.508689305944785,0.5147597097561545,-0.8427308311917142,-0.02719864920836968,17.02344901570094,16.180718184509224,16.99625036649257
1406,2.625897081786822,0.02837259805944538,-0.015078242289509504,0.02671784787064112,2.6542696798462675,2.639191437556758,2.6809875277169084
1408,2.9071518439206927,-0.1891207684281317,0.03081860065279715,0.03796061186605863,2.718031075492561,2.7488496761453582,2.7559916873586197
1409,2.73965838638535,-0.0704102710879886,0.0017125455792882792,0.02462515308921257,2.669248115297361,2.6709606608766494,2.693873268386574
1428,2.252653151789494,-0.004141617348241916,-0.02965163849473013,0.00815286986921926,2.248511534441252,2.2188598959465216,2.256664404310471
1429,6.18111967643883,0.025799607103592487,-0.04228234508361339,0.03540495638947204,6.2069192835424225,6.164636938458809,6.242324239931895
1438,3.212464713135802,0.18992774013228225,-0.06952344024103449,0.029437088278472596,3.4023924532680843,3.3328690130270497,3.431829541546557
1444,4.388304011048691,0.3061257580653105,-0.15759448377819055,-0.041458729278520956,4.694429769114001,4.536835285335811,4.652971039835481
1455,6.885838410665909,0.4834876852915632,-0.2631106518775826,-0.14824865609966792,7.369326095957472,7.10621544407989,7.221077439857805
