,,SCF,SCF,SCF,SCF,SCF,SCF,MP2,MP2,MP2,MP2,MP2,MP2,CCSD,CCSD,CCSD,CCSD,CCSD,CCSD,CCSD(T),CCSD(T),CCSD(T),CCSD(T),CCSD(T),CCSD(T)
,,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx
aug-cc-pVDZ,bromine,8.888674690642759,4.7495052259764545,4.7495052259764545,-0.0,-0.0,-0.0,8.60138157024428,4.873980381289201,4.873980381289201,-0.0,-0.0,-0.0,8.668990837424154,4.887502244833166,4.887502244833166,-0.0,-0.0,-0.0,8.655839448587775,4.909359494481412,4.909359494481412,-0.0,-0.0,-0.0
aug-cc-pVDZ,chlorine,6.038712223603909,3.298962138929464,3.298962138929464,-0.0,-0.0,-0.0,5.895899208332591,3.4095449791548034,3.4095449791548034,-0.0,-0.0,-0.0,5.930722615780918,3.412879135702347,3.412879135702347,-0.0,-0.0,-0.0,5.9325749240380725,3.4319579177002817,3.4319579177002817,-0.0,-0.0,-0.0
aug-cc-pVDZ,nitrogen,2.246109764360113,1.422758461083842,1.422758461083842,-0.0,-0.0,-0.0,2.1494192402750953,1.4792538824059949,1.4792538824059949,-0.0,-0.0,-0.0,2.2153614368148373,1.4855517326387973,1.4855517326387973,-0.0,-0.0,-0.0,2.240738068519117,1.5014815891254878,1.5014815891254878,-0.0,-0.0,-0.0
aug-cc-pVDZ,oxygen,2.7017777522413313,1.0639662285871694,1.0639662285871694,-0.0,-0.0,-0.0,1.7424669759825253,1.085823473497294,1.085823473497294,-0.0,-0.0,-0.0,2.295010719248289,1.110459181846066,1.110459181846066,-0.0,-0.0,-0.0,2.2811184025815097,1.1184241100894112,1.1184241100894112,-0.0,-0.0,-0.0
aug-cc-pVDZ,carbon_monoxide,2.1536795504247577,1.627809055590906,1.627809055590906,-0.0,-0.0,-0.0,2.336872900284926,1.7341315861930409,1.7341315861930409,-0.0,-0.0,-0.0,2.319183350269544,1.7100515704267065,1.7100515704267065,-0.0,-0.0,-0.0,2.3309455115982627,1.730056506553219,1.730056506553219,-0.0,-0.0,-0.0
aug-cc-pVDZ,sulfur_monoxide,4.728018452088711,2.677327274928858,2.677327274928858,-0.0,-0.0,-0.0,3.883921288277504,2.727710076791278,2.727710076791278,-0.0,-0.0,-0.0,4.48277275271295,2.7571617873456926,2.7571617873456926,-0.0,-0.0,-0.0,4.4432259580506726,2.7764258003799265,2.7764258003799265,-0.0,-0.0,-0.0
aug-cc-pVDZ,carbon_dioxide,3.5380952177925757,1.6793032431446595,1.6793032431446595,-0.0,-0.0,-0.0,4.1115700513134295,1.8139660996627913,1.8139660996627913,-0.0,-0.0,-0.0,3.990799511462077,1.782291617199251,1.782291617199251,-0.0,-0.0,-0.0,4.022844454945298,1.805075016764411,1.805075016764411,-0.0,-0.0,-0.0
aug-cc-pVDZ,sulfur_dioxide,4.305692023102202,3.027876731048364,3.299610446503593,0.5343216542842519,-0.5024156335517965,-0.6980194525780422,4.713570440733662,3.2789572038558674,3.6165404990165446,0.5325388068760226,-0.6240660200358803,-0.6956346048283003,4.674671954698429,3.2269073247725912,3.5553216910068985,0.5626388265839403,-0.607302624675533,-0.7349961687175087,4.7078282849259,3.2686768908175368,3.601258952209815,0.54670897009725,-0.6149202452522762,-0.7142503094987178
aug-cc-pVDZ,ethene,5.379290257943259,3.4800253337148006,3.351567712174551,-0.0,0.06964681440309933,-0.0,5.048838351099354,3.554302920570485,3.340083397137051,-0.0,0.1164407678327523,-0.0,5.006420477743508,3.4983631920939993,3.2495054922485367,-0.0,0.13526485695835505,-0.0,5.013644482368117,3.526333056200628,3.276178740153991,-0.0,0.13607524208408905,-0.0
