,aug-cc-pVDZ-loose,aug-cc-pVDZ-loose,aug-cc-pVDZ-loose,aug-cc-pVDZ-loose,aug-cc-pVDZ-loose,aug-cc-pVDZ-loose,aug-cc-pVTZ-loose,aug-cc-pVTZ-loose,aug-cc-pVTZ-loose,aug-cc-pVTZ-loose,aug-cc-pVTZ-loose,aug-cc-pVTZ-loose,aug-cc-pVDZ-tight,aug-cc-pVDZ-tight,aug-cc-pVDZ-tight,aug-cc-pVDZ-tight,aug-cc-pVDZ-tight,aug-cc-pVDZ-tight,aug-cc-pVTZ-tight,aug-cc-pVTZ-tight,aug-cc-pVTZ-tight,aug-cc-pVTZ-tight,aug-cc-pVTZ-tight,aug-cc-pVTZ-tight
,5e-4,1e-3,2e-3,4e-3,8e-3,1.6e-2,5e-4,1e-3,2e-3,4e-3,8e-3,1.6e-2,5e-4,1e-3,2e-3,4e-3,8e-3,1.6e-2,5e-4,1e-3,2e-3,4e-3,8e-3,1.6e-2
bromine,6.136517516924871,6.1353659247699905,6.1202315222308075,6.117578253277019,6.118441298797108,6.125580424552666,6.280001029617788,6.46154970804003,6.505190441466257,6.520349608582775,6.522249966999006,6.5367632724645715,6.115724346693828,6.115758668937969,6.115871451652522,6.116325345361534,6.118146750542806,6.125507779686655,6.5185884259680495,6.518640807822329,6.518853277787863,6.519706976224284,6.523132445131308,6.536987316781456
chlorine,4.29470939002001,4.253664220151498,4.242186512423262,4.239391617884099,4.239487477260043,4.243059767189493,4.479290420742415,4.48329275829701,4.485713810202226,4.485580584076385,4.487108540422836,4.493051293650281,4.237809308800658,4.237824751564301,4.237884885685929,4.238124841664918,4.2390869484776035,4.242967232482624,4.485057456246294,4.4850803676919915,4.485173173085939,4.485544310428474,4.487031970813543,4.493026968226538
nitrogen,1.696411800504892,1.7009593097327342,1.7021187682208325,1.702495947369157,1.7029334281185136,1.7044144417373985,1.7380531902077079,1.7260652297025982,1.7230919961623552,1.7224480294964402,1.722678672962494,1.7243000318431956,1.7025426843668665,1.7025465478655526,1.7025687949214408,1.702658545280476,1.7030181216524638,1.7044672309110203,1.7221049371778552,1.722109376270459,1.7221346244870723,1.7222371437303237,1.7226487226656442,1.724307076386674
oxygen,1.2770963148835561,1.2959721452739115,1.3022416426804073,1.3041649881767803,1.3054953840634091,1.3091024207155795,1.3194630483869374,1.3472676320162644,1.3542045719849316,1.3561909383468187,1.357612118731189,1.3616008013620355,1.3044615546949974,1.3044659713253992,1.3045206857389324,1.3047437545294192,1.3056335790300668,1.3091446147220347,1.3565178867476448,1.3565314567252247,1.35659276449689,1.3568373791014066,1.3578140787554054,1.3616697843298138
carbon_monoxide,1.9349271156500163,1.9297160505228343,1.93369307984462,1.9348308461634058,1.9357117740528211,1.938359096094848,1.9592013206594499,1.9592122709827609,1.9565528252744866,1.9588225547671612,1.960029363159587,1.9630265748697806,1.934888126883479,1.934894096213571,1.9349346303093884,1.935095282257003,1.9357388135861457,1.9383388005633762,1.9591157958266163,1.9591254826510835,1.9591701424215973,1.9593499484852221,1.9600707695521928,1.9629877273474978
sulfur_monoxide,3.108148618681692,3.1084540091599573,3.109374525626889,3.1111547281108725,3.1137172237102773,3.1196171675349413,3.2294124541025218,3.2294397007531397,3.2295429272047715,3.2299548618720495,3.2316054324456864,3.238369365115166,3.1126047376342907,3.1125235143130756,3.1127089341722574,3.1130377541307452,3.1142887641656753,3.1194023921885394,3.2294854562579283,3.229271683484697,3.229668037456374,3.230055308626225,3.2316497869583896,3.2381905334372814
carbon_dioxide,2.5772858059063846,2.5790817908948114,2.5773509427814894,2.5792184575981985,2.5801551722957905,2.581657209191868,2.638899771073526,2.6384672417260697,2.6383871022060847,2.637605448298238,2.638953539881014,2.640891412850185,2.579646897772036,2.5796531703418504,2.57967692973566,2.5797700081857466,2.580143004187726,2.5816445217002295,2.6382961892526273,2.6383046631182046,2.638335093083964,2.6384554608277546,2.6389377583417435,2.640881227360453
sulfur_dioxide,4.116091714444025,3.9363557693893245,3.897175105455413,3.8828761578332376,3.8744729976509893,3.877225652195411,3.5384035559083515,3.8305617084096126,3.9247437376951417,3.929059522638961,3.927416584914483,3.9321751739081603,3.8693060188062343,3.8693196533626444,3.869399057245525,3.8697241660271318,3.8710282405566883,3.8763343144355407,3.924286031027396,3.9243049554322975,3.9243916230296407,3.9247385419071197,3.9261319721278087,3.9318126415630794
ethene,3.9812213105167555,3.9798663189141488,3.9798962097870683,3.980771479921697,3.983550727979965,3.994286068032029,4.002908757151526,4.000855467643044,4.00062405151235,4.001479305982694,4.004780332669258,4.017802369336349,3.980152536499407,3.9801926890887684,3.98035581731863,3.9810087313989597,3.9836321048952583,3.994316407046711,4.000680428128806,4.000729529097755,4.000925657811579,4.001712022902995,4.004875994053178,4.01783963250018
propane,5.924938924554505,5.925003428978244,5.925265096780972,5.926305517006841,5.930442784261013,5.94740186809029,5.926885583183916,5.926958589550984,5.927252243177909,5.928394956796612,5.932777161264283,5.95033151001558,5.925069064935393,5.925132887069757,5.925386196476662,5.926400473770799,5.930490496214792,5.947415735840108,5.9273401956833816,5.92740421436201,5.927665189697177,5.928712909348899,5.932936544952998,5.950384456347838
1-3-butadiene,8.01282197003437,8.02741175964757,8.033571609220534,8.038486785380753,8.048341625493313,8.087288327861849,8.011206443566332,8.027573021408863,8.036475116928067,8.04013554046449,8.050926510423839,8.093547228735678,8.035888584620174,8.036035434071325,8.036623620860757,8.038979888968601,8.048459221568129,8.087293890777447,8.037427279127423,8.037585227713969,8.038222242416213,8.040775883608756,8.0510674879396,8.093560328871561
isobutene,7.627443445640744,7.627538584295891,7.627913719910321,7.629345472226422,7.635216287357521,7.659477087061004,7.626798668141996,7.626896476991364,7.627293525185461,7.628870646377748,7.635152516947641,7.661119115987615,7.627271497487012,7.627362744565719,7.627728352696925,7.6291936493279495,7.635096457390426,7.659411867246852,7.626721218470661,7.62681682321649,7.627204886529922,7.6287620621645615,7.635040348741017,7.660992592986368
1-pentene,9.467075636608266,9.467213063165818,9.467761984622857,9.469961973366516,9.478857977636762,9.516222690832747,9.462079616176485,9.462218859364597,9.462776628823258,9.465013510329262,9.474012068457364,9.512096572650693,9.467073221921588,9.467209707874446,9.467757186135026,9.46995385731679,9.478842611692093,9.51620680672194,9.462080290042534,9.462218690898084,9.462774645130075,9.465005610653714,9.474037005800616,9.512092021115468
water,1.3638988426721437,1.3639078415916852,1.3639437393486906,1.364087140588656,1.3646619344658337,1.3669791273199865,1.4168218001582695,1.416832433202982,1.4168773144367648,1.4170560735512094,1.417772988915123,1.420670426629435,1.3639155657812823,1.3639242375950118,1.3639600132137957,1.364103539399758,1.3646787352933123,1.3669972586216188,1.4168330031813492,1.4168445445413413,1.4168891095494416,1.4170679757103157,1.4177852665044846,1.4206840494008663
methanol,3.074784831069376,3.0748059680011415,3.0748896628664832,3.0752251545375806,3.076570913824332,3.0820180674833826,3.1019035538331114,3.1019279884968585,3.102026696887209,3.102422083141612,3.104009185250883,3.110447728218652,3.0747863753457403,3.0748070588218095,3.074890851608312,3.0752263272224445,3.076572158875215,3.082019679661842,3.1019034864465063,3.101928382989275,3.1020270425945315,3.1024224482401324,3.1040096278922573,3.1104484904089746
ethanol,4.856616391844004,4.856659390113539,4.856827450902497,4.8575005413045,4.860207552918371,4.871281075471805,4.874586366565677,4.874632239997024,4.874816095925414,4.87555322992505,4.878547772461032,4.890677807652969,4.856617784500508,4.8566610242387105,4.856829338429381,4.857502470246067,4.8602096099646825,4.871284614310515,4.874587186436037,4.874631549284323,4.874815627026954,4.87555274891806,4.878518125030998,4.890659696219636
methylformate,4.983383826067606,4.983420040752237,4.983568342525114,4.984161531015108,4.98654692641263,4.996294285109586,5.006289622520601,5.006330147140177,5.006490303339982,5.007131772928563,5.009711669627077,5.020272967873822,4.98337038243991,4.983408722610374,4.9835570061327115,4.984150244811688,4.986535650387395,4.996283014787644,5.006279357294441,5.006320479970136,5.006480747779005,5.007122131203986,5.0097020449246354,5.020263363231619
methylacetate,6.727606198191124,6.7276550815574945,6.727851885541256,6.72864013859827,6.731810664675161,6.744789529040011,6.739294359902294,6.73934561303094,6.7395543093465955,6.740392058215947,6.743763707863272,6.757593498666532,6.727597527781281,6.727645860823711,6.727842527226488,6.728630779581559,6.7318013820825815,6.744780637408193,6.73928647566951,6.739337346940728,6.7395459716581145,6.740383792827679,6.743755451951245,6.757585432038038
acetone,6.116975435170977,6.117043175555644,6.117313687850276,6.118397357115103,6.12276116865901,6.140996185953724,6.128305875089556,6.128374084372683,6.128647379172547,6.129744070547815,6.13417345667266,6.152756493909513,6.117089969937259,6.117156547902989,6.117424056580093,6.1184966930432125,6.122834919569096,6.141029580414614,6.128368555863298,6.12843529667999,6.12870761016242,6.129800062323582,6.134218730819486,6.152757983258775
acetaldehyde,4.395445457353551,4.395490906810841,4.395672960147548,4.3964036778543765,4.399352501956978,4.411595124525667,4.4153286837952095,4.415376107118471,4.415567230972987,4.416334193372545,4.419430449890623,4.432306421841347,4.395457631866852,4.39550310659412,4.395685519326054,4.396416008199202,4.399364512785759,4.41160818034038,4.415328504097596,4.415375388328018,4.415566726977337,4.416333604090722,4.419429485507583,4.43230493071529
acetic_acid,4.987186306182899,4.9872298631997,4.987404098988284,4.988100536216627,4.990905925736932,5.002464872843346,5.015758103156693,5.015803999050242,5.015985206544667,5.016710968001795,5.019635471989103,5.031698831370924,4.987182072057886,4.9872261035886964,4.987400069830861,4.988096505830801,4.990901784970443,5.002460399300657,5.015754520435527,5.0157991696768836,5.015980071123812,5.016705828369277,5.019630275806238,5.03169341598417
dimethyl_ether,4.886900493681703,4.886953569056459,4.887164999443222,4.888011427145742,4.891430358411424,4.905662184116261,4.901736362329678,4.901791849583336,4.902015714202609,4.902912776445799,4.9065316656164875,4.92153573952223,4.8868728651736575,4.886926002319466,4.887137680492392,4.887986321774692,4.8914117926559335,4.905655169624752,4.901724120429771,4.901779085437242,4.902002867929089,4.90290060614416,4.906521708455913,4.92153123242882
N-methylacetamide,7.524105435484218,7.524180571548782,7.524481774932269,7.525690598320185,7.530572919956882,7.55093271679692,7.530914795762986,7.530992043274508,7.531307315717617,7.53257171357571,7.537679402956589,7.55899034381553,7.524123382783347,7.524198594657841,7.524499696259476,7.525708364868786,7.530590046420477,7.550947948758066,7.5309218152010065,7.530999593382041,7.531315354378037,7.532579809269064,7.537687186372693,7.558997166435089
dimethyl_sulfide,7.135253288838753,7.135358271553778,7.1357811533856195,7.137470463623487,7.1442637521969665,7.172761324689901,7.216429686514497,7.216544181971925,7.217008075572341,7.218870276323496,7.2264114228430465,7.258247467543698,7.135462861180273,7.135569433096066,7.135982993114217,7.137644940178795,7.144376669158271,7.172803300819581,7.216657902483396,7.216773622130816,7.217234401908527,7.219083392428302,7.226575041029682,7.258262125490298
dimethyl_sulfone,7.946679052225735,7.939872567108779,7.938409163093731,7.9395865179900325,7.945298016928701,7.969748132520759,7.935154999359918,7.925808555865464,7.923466540024576,7.923746930072389,7.9291056964595255,7.952708762646212,7.937443223843372,7.937535846731932,7.937895359885107,7.939341208285667,7.94518919370365,7.969707474531861,7.921466578590618,7.921546600184044,7.921894337527995,7.92329479262677,7.92895877962177,7.952663569968738
fluoromethane,2.433263660848681,2.433276278990465,2.433327961708718,2.4335359065935322,2.434368553735332,2.4377254475039267,2.4731230286291783,2.473138269233007,2.473197972361141,2.4734369675545507,2.474395761894434,2.4782750520238057,2.433284595620631,2.4332989068508657,2.43335030738771,2.4335571044189224,2.4343859695752603,2.437735465777483,2.4731294191255513,2.473144269448626,2.4732038974687733,2.473442747359816,2.4744009079760607,2.478278508285408
phosphine,4.396514489686218,4.396567949726177,4.396780060296485,4.39762995981305,4.401050853274886,4.4150925540899495,4.457548828970535,4.4575994587730845,4.457845112429913,4.459020638060667,4.463381770065725,4.481228252845295,4.396493195519041,4.396545481908963,4.396758045934967,4.397609149285152,4.401034572916801,4.41508703281936,4.457638610390584,4.457704823345537,4.457974159182358,4.459051303528573,4.463389185312306,4.481230128110098
