,,SCF,SCF,SCF,SCF,SCF,SCF,MP2,MP2,MP2,MP2,MP2,MP2,CCSD,CCSD,CCSD,CCSD,CCSD,CCSD,CCSD(T),CCSD(T),CCSD(T),CCSD(T),CCSD(T),CCSD(T)
,,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx
aug-cc-pVDZ,Cl2,3.2963689086329464,3.2963689086329464,6.012409439613655,,,,3.406396053643559,3.406396053643559,5.877746581516149,,,,3.4099154412274006,3.4099154412274006,5.911088140674087,,,,3.4291794542616345,3.4291794542616345,5.913866604112735,,,
aug-cc-pVDZ,CO,1.6235487451780144,1.6235487451780144,2.1372866166105497,,,,1.7298712757801493,1.7298712757801493,2.316404886830896,,,,1.7061617218231833,1.7061617218231833,2.3003824148260565,,,,1.7261666579496955,1.7261666579496955,2.312329807454303,,,
aug-cc-pVDZ,CO2,1.6728201616123295,1.6728201616123295,3.5162379728824513,,,,1.8065568640018839,1.8065568640018839,4.080266030396029,,,,1.7756233056835382,1.7756233056835382,3.9633853396746574,,,,1.798036242649643,1.798036242649643,3.9946893595391426,,,
aug-cc-pVDZ,H2O,1.0856382424609954,1.340145484438673,1.1939056973648918,,,,1.2916149913598656,1.454062481474785,1.3408864080574097,,,,1.2501232721325968,1.4327609291470982,1.3081931559471431,,,,1.2747589804813688,1.4518397108818042,1.3289390159556207,,,
aug-cc-pVDZ,N2,1.4099775298451673,1.4099775298451673,2.2036918907410383,,,,1.4699923376982462,1.4699923376982462,2.1184856814302915,,,,1.4749935719931033,1.4749935719931033,2.179611874974704,,,,1.490738197706724,1.490738197706724,2.203877121777337,,,
aug-cc-pVDZ,NH3,1.8554578187584454,1.8553652033719106,1.9079707758273112,-0.0,4.630772617103197e-05,-0.0,1.9747465113723246,1.9746538959857898,2.2204552862330003,-0.0,6.94615728047401e-05,-0.0,1.9443686455048024,1.9442760301182676,2.154698320466328,-0.0,6.946160570835582e-05,-0.0,1.9664111214512257,1.9662258905465415,2.2003577345883385,-0.0,9.261545234206395e-05,-0.0
aug-cc-pVDZ,O2,1.0567422234361028,1.0567422234361028,2.624166009101333,,,,1.0821188554036114,1.0821188554036114,1.7811802320343755,,,,1.1047170239324726,1.1047170239324726,2.2550008469952645,,,,1.1128671832121164,1.1128671832121164,2.2438869937671324,,,
aug-cc-pVDZ,PH3,4.324029880954942,4.324215111991241,4.420072097465831,-0.0,0.0003473079298309319,-0.0,4.393491464815297,4.393676695851596,4.593448209509355,-0.0,0.0004399233163657644,-0.0,4.3568157480569,4.356908364627966,4.536767557677361,-0.0,0.0004167694368284406,-0.0,4.375524069035154,4.375709300071453,4.57075742651526,-0.0,0.0004167694368284406,-0.0
aug-cc-pVDZ,SH2,3.3584212552530204,3.3912071223549787,3.3206341543826636,,,,3.50530935016416,3.4391819228513483,3.4155649836228448,,,,3.484748720928752,3.419547448797433,3.3962083561233776,,,,3.5130890473712064,3.435847766303805,3.4165837543224873,,,
aug-cc-pVDZ,SiH4,4.435538876361775,4.435538876361775,4.435538876361775,,,,4.5844645116192835,4.5844645116192835,4.5844645116192835,,,,4.599097751904799,4.599097751904799,4.599097751904799,,,,4.622992536634834,4.622992536634834,4.622992536634834,,,
aug-cc-pVDZ,SO-trip,2.667695268411741,2.667695268411741,4.585761127820458,,,,2.726598691626402,2.726598691626402,3.8898486761744806,,,,2.750678707392736,2.750678707392736,4.392287464132273,,,,2.7706836424663326,2.7706836424663326,4.361076058733021,,,
aug-cc-pVDZ,SO2,2.616942004476724,4.698751970464763,2.996665327754944,,,,2.777537186597718,5.118670397032306,3.398060665433448,,,,2.737712545380992,5.093108535081415,3.2959058299892843,,,,2.77346210590498,5.121448860470954,3.362866795912524,,,
aug-cc-pVDZ,FCN,2.029760085851848,2.029760085851848,3.530593366613519,,,,2.075882577038147,2.075882577038147,3.6754439222312056,,,,2.066250571047488,2.066250571047488,3.6868356220137857,,,,2.0912567409424,2.0912567409424,3.7434236588540877,,,
aug-cc-pVDZ,HCHS,3.7748202942367217,4.262533225337933,6.860859526460384,,,,3.68405715804868,4.3871936137928085,6.4614091136101,,,,3.6723876122381105,4.3768206841834125,6.5409657805254025,,,,3.678500232224301,4.411829322668038,6.5196642281977155,,,
aug-cc-pVTZ,Cl2,3.4927136512779287,3.4927136512779287,6.190231091263766,,,,3.6586805271340874,3.6586805271340874,6.115027349489817,,,,3.6164478845513113,3.6164478845513113,6.118546737073659,,,,3.6512712919996377,3.6512712919996377,6.124474126023552,,,
aug-cc-pVTZ,CO,1.6635586174310388,1.6635586174310388,2.1473817004551843,,,,1.7661765299394911,1.7661765299394911,2.3152935014027913,,,,1.7343168172293393,1.7343168172293393,2.2839894812750776,,,,1.7563592929125336,1.7563592929125336,2.299919337761768,,,
aug-cc-pVTZ,CO2,1.7535808292106572,1.7535808292106572,3.517905050629765,,,,1.8965790765711892,1.8965790765711892,4.075079566117789,,,,1.8510122774408697,1.8510122774408697,3.923931160530529,,,,1.87861167973813,1.87861167973813,3.972091191536739,,,
aug-cc-pVTZ,H2O,1.144726896448726,1.3588538043640108,1.2433623450987346,,,,1.365336885369883,1.4738821865649985,1.4061802964965644,,,,1.3032845374336643,1.4436895516021604,1.3584833425546428,,,,1.3386636372012,1.4666581819403899,1.3874719765712267,,,
aug-cc-pVTZ,N2,1.4509135562267692,1.4509135562267692,2.227030982888636,,,,1.4975917405219645,1.4975917405219645,2.11867091246659,,,,1.4940723534645806,1.4940723534645806,2.1755367953348825,,,,1.5120397497711817,1.5120397497711817,2.195912193270763,,,
aug-cc-pVTZ,NH3,1.8910221494306654,1.8909295340441303,1.9493698795364305,-0.0,-0.0,-0.0,2.0188314631335564,2.018738847747022,2.2647254687673017,-0.0,2.3153863085515986e-05,-0.0,1.9754874349910612,1.9753948194729118,2.1720174086723416,-0.0,2.3153863085515986e-05,-0.0,2.002531144837498,2.0025311447058836,2.228327598958196,-0.0,4.630772617103197e-05,-0.0
