,,SCF,MP2,CCSD,CCSD(T)
aug-cc-pVDZ,Cl2,4.2017157522931825,4.230179562934422,4.243639674376296,4.257408504212001
aug-cc-pVDZ,CO,1.7947947023221928,1.9253824794637315,1.9042352861574745,1.9215543744512313
aug-cc-pVDZ,CO2,2.287292765369037,2.5644599194665987,2.504877317013911,2.5302539482794764
aug-cc-pVDZ,H2O,1.20656314142152,1.3621879602973532,1.3303591190756128,1.351845902439598
aug-cc-pVDZ,N2,1.674548983477124,1.686156785608928,1.7098663396536367,1.7284511723969285
aug-cc-pVDZ,NH3,1.872931265985889,2.0566185645303716,2.0144476653631327,2.0443315821953685
aug-cc-pVDZ,O2,1.5792168186578461,1.3151393142805328,1.4881449649534033,1.489873786730455
aug-cc-pVDZ,PH3,4.356105696804004,4.460205456725416,4.416830556787409,4.440663598540623
aug-cc-pVDZ,SH2,3.3567541773302216,3.453352085546118,3.433501508616521,3.455173522665833
aug-cc-pVDZ,SiH4,4.435538876361775,4.584464511619284,4.599097751904799,4.622992536634834
aug-cc-pVDZ,SO-trip,3.307050554881313,3.1143486864757612,3.2978816263059145,3.300814447888562
aug-cc-pVDZ,SO2,3.4374531008988107,3.7647560830211577,3.7089089701505635,3.7525925874294863
aug-cc-pVDZ,FCN,2.5300378461057385,2.6090696921025,2.606445588036254,2.641979046912963
aug-cc-pVDZ,HCHS,4.966071015345013,4.8442199618171955,4.863391358982309,4.8699979276966845
aug-cc-pVTZ,Cl2,4.391886131273208,4.477462801252664,4.450480835392094,4.475672236674275
aug-cc-pVTZ,CO,1.8248329784390875,1.949215520427258,1.9175410385779188,1.937545974528945
aug-cc-pVTZ,CO2,2.3416889030170265,2.6227459064200556,2.541985238470756,2.5764381836709997
aug-cc-pVTZ,H2O,1.2489810153038239,1.415133122810482,1.3684858105301558,1.3975979319042724
aug-cc-pVTZ,N2,1.709619365114058,1.7046181311701727,1.721227167421348,1.7399972309377087
aug-cc-pVTZ,NH3,1.9104405210037418,2.100765259882627,2.0409665543787714,2.077796629500526
aug-cc-pVTZ,O2,1.646579118844038,1.3681153485453017,1.5438994626568194,1.5462457210460474
aug-cc-pVTZ,PH3,4.419269429641871,4.523245702907694,4.459618891777137,4.487990090058975
aug-cc-pVTZ,SH2,3.4984558074366627,3.613669420761692,3.5602611807455595,3.5896511483231524
aug-cc-pVTZ,SiH4,4.408124704047897,4.560940188961845,4.570386963389748,4.601135292251168
aug-cc-pVTZ,SO-trip,3.402043128502205,3.232495122085382,3.3857119395074218,3.393645995560412
aug-cc-pVTZ,SO2,3.490027800900627,3.812298676362276,3.7190657965333056,3.7752216277977304
aug-cc-pVTZ,FCN,2.5895278332157625,2.6632188552109106,2.6466098189597367,2.6857552798855195
aug-cc-pVTZ,HCHS,5.118485164943093,4.987712157905913,4.978635844497693,4.984841079300089
aug-cc-pVQZ,Cl2,4.439490468293093,4.535069607213235,4.4875887561469945,4.518831033034657
aug-cc-pVQZ,CO,1.8287228271303533,1.9485363406627736,1.9138364208352077,1.9347366394264
aug-cc-pVQZ,CO2,2.3546550655552285,2.633983246303776,2.5456281121837288,2.5821185977303407
aug-cc-pVQZ,H2O,1.2609284074933556,1.4288710806313176,1.375555456133335,1.4068286046848943
aug-cc-pVQZ,N2,1.7138796755269494,1.703383258560022,1.7185721915157188,1.7376509731626815
aug-cc-pVQZ,NH3,1.917541038446304,2.1064148020148417,2.0404417334602307,2.07921673297149
aug-cc-pVQZ,O2,1.6642995411375185,1.3809580237259713,1.558470959263569,1.561928602642187
aug-cc-pVQZ,PH3,4.4230357919407775,4.522165188880257,4.456099504895239,4.485520344663186
aug-cc-pVQZ,SH2,3.529914186849035,3.6405587711041125,3.5762219094226047,3.6074641859592957
aug-cc-pVQZ,SiH4,4.396269927201029,4.549641104170957,4.556679878285724,4.589095284368001
aug-cc-pVQZ,SO-trip,3.424178220844207,3.260248883579558,3.4072295940088466,3.417942113500484
aug-cc-pVQZ,SO2,3.5051858631575996,3.8254809416006736,3.7197449755958463,3.779574553290056
aug-cc-pVQZ,FCN,2.6003638400649325,2.6688375257669716,2.6481225376856203,2.688070666259879
aug-cc-pVQZ,HCHS,5.151363647914171,5.010032480582271,4.995862316834585,5.002160166804159
aug-cc-pV5Z,Cl2,4.4407870848452395,4.5258698075003965,4.476536646071171,4.508519846402084
aug-cc-pV5Z,CO,1.8281980062995558,1.945727005297,1.9097304690927743,1.9310011497565638
aug-cc-pV5Z,CO2,2.3560751691139354,2.6336127847576365,2.5430348801323515,2.580142801764682
aug-cc-pV5Z,H2O,1.2640155887993763,1.4320508774554879,1.3765742260432905,1.4088661445925486
aug-cc-pV5Z,N2,1.7135709574840907,1.7007900259821869,1.7154850099464694,1.734440304323643
aug-cc-pV5Z,NH3,1.919300731931125,2.1064148019709705,2.0389907581937554,2.07838319401009
aug-cc-pV5Z,O2,1.666584054795064,1.3797231510280772,1.5582857287537288,1.5619286024667012
aug-cc-pV5Z,PH3,4.421924405722986,4.512162721343459,4.445788318613638,4.475579620103211
aug-cc-pV5Z,SH2,3.531149059371444,3.6294757895398777,3.5643053888969702,3.5959798704830805
aug-cc-pV5Z,SiH4,4.394047156871277,4.549270643151275,4.552419567609604,4.585761127820458
aug-cc-pV5Z,SO-trip,3.423313809692452,3.2569764714127243,3.398554614161634,3.41090334008766
aug-cc-pV5Z,SO2,3.50135775788187,3.8169911917368444,3.7059452742717305,3.767133212196853
aug-cc-pV5Z,FCN,2.601382610062631,2.666460395713847,2.644541407300442,2.6846747665600272
aug-cc-pV5Z,HCHS,5.154697804461715,5.000030011641585,4.987403439863054,4.992003340070446
aug-cc-pCVDZ,Cl2,4.2040002663017,4.226721920433234,4.237650541747638,4.252283783788013
aug-cc-pCVDZ,CO,1.7956282415468217,1.9249502738878543,1.9024447211403714,1.9201033990531415
aug-cc-pCVDZ,CO2,2.2871692780115045,2.5643981756123466,2.5030250080548133,2.528895588925993
aug-cc-pCVDZ,H2O,1.2061000642694886,1.3619718577726436,1.3294020929321662,1.3511975942512677
aug-cc-pCVDZ,N2,1.6749194451110068,1.6841809895555262,1.70752008187861,1.7262284015407188
aug-cc-pCVDZ,NH3,1.8717890087622726,2.0563715899469206,2.0132745364317475,2.0434671714384574
aug-cc-pCVDZ,O2,1.58032820434918,1.3135957237152656,1.487897990764796,1.4892563508202228
aug-cc-pCVDZ,PH3,4.3548708246325685,4.456284735931537,4.411458860946413,4.435878465893045
aug-cc-pCVDZ,SH2,3.358266896056105,3.4500796740812283,3.4281915561033185,3.4511910588951324
aug-cc-pCVDZ,SiH4,4.436465031543268,4.592058977790031,4.602246676363128,4.627252847310955
aug-cc-pCVDZ,SO-trip,3.3052599892500094,3.111940684758739,3.2911824417224174,3.295288393201622
aug-cc-pCVDZ,SO2,3.4330384317277183,3.7612984398180256,3.700450092477089,3.7464799674432956
aug-cc-pCVDZ,FCN,2.529327794326385,2.6079274347472694,2.604315432698194,2.64012673812935
aug-cc-pCVDZ,HCHS,4.9687568632655115,4.8411945247164,4.86119946049194,4.866540284142581
aug-cc-pCVTZ,Cl2,4.4029382399451436,4.4778332633252615,4.445911806673114,4.472461567484265
aug-cc-pCVTZ,CO,1.8248638501029841,1.9461900827122605,1.9134659590258398,1.9341500750045793
aug-cc-pCVTZ,CO2,2.341503671980728,2.6200291861337166,2.5382806205525594,2.5734127458682594
aug-cc-pCVTZ,H2O,1.2488266560191654,1.4139291220397139,1.366479142461885,1.3965174186665223
aug-cc-pCVTZ,N2,1.7096811087928245,1.7025188476714959,1.7184487041581864,1.7374657422141262
aug-cc-pCVTZ,NH3,1.9099465719245845,2.099190797346362,2.038712911990279,2.0762530388913873
aug-cc-pCVTZ,O2,1.6469495810921213,1.3667569890163331,1.5416766921515819,1.544084693693118
aug-cc-pCVTZ,PH3,4.4178493260831635,4.513274106157363,4.448350680229519,4.477401056871955
aug-cc-pCVTZ,SH2,3.503333553847529,3.6065997748075405,3.551030508140423,3.5818405792767223
aug-cc-pCVTZ,SiH4,4.402382548240135,4.562422036199318,4.566682345822523,4.598727289832202
aug-cc-pCVTZ,SO-trip,3.3974741004851694,3.230920659680731,3.3742893684119166,3.3840139897452395
aug-cc-pCVTZ,SO2,3.4788213326808037,3.7980358999042174,3.6993387062592973,3.758087769926071
aug-cc-pCVTZ,FCN,2.5894969613763794,2.660625622633076,2.643275662938651,2.6824828677186865
aug-cc-pCVTZ,HCHS,5.126511837567147,4.985458514683863,4.976258714269082,4.980333793557931
aug-cc-pCVQZ,Cl2,4.447702371251503,4.528956987928988,4.476413158713639,4.5090755402129234
aug-cc-pCVQZ,CO,1.8286919551154845,1.9461283391212374,1.9106874954994495,1.931958176075496
aug-cc-pCVQZ,CO2,2.3544080913666217,2.6323779120597424,2.5434670855327433,2.5805750071650735
aug-cc-pCVQZ,H2O,1.2610210230115049,1.4283153877856511,1.3745675581505055,1.4064890148026523
aug-cc-pCVQZ,N2,1.7140031628844818,1.701963155001315,1.7168433697386665,1.735860408057836
aug-cc-pCVQZ,NH3,1.9175410384463045,2.1058899810524294,2.0397316817686204,2.0787845276149697
aug-cc-pCVQZ,O2,1.6644230284950507,1.3799083820643758,1.5571125997346005,1.560755473798545
aug-cc-pCVQZ,PH3,4.42244922734347,4.510804361463518,4.4436272919626525,4.473634696678879
aug-cc-pCVQZ,SH2,3.533618805118204,3.6305871750557253,3.5642436448672323,3.596535563591976
aug-cc-pCVQZ,SiH4,4.3931210027427,4.550752489335832,4.552604798645903,4.585946357803841
aug-cc-pCVQZ,SO-trip,3.4206588336113373,3.2554637519848963,3.3934607655770286,3.4063343124215955
aug-cc-pCVQZ,SO2,3.4970974468547786,3.813749651760366,3.704000351549342,3.7653735184049317
aug-cc-pCVQZ,FCN,2.6003947122552877,2.6668926014652103,2.645714536144084,2.685755280236492
aug-cc-pCVQZ,HCHS,5.157260165375653,5.002561501418083,4.988236978122511,4.992497289149603
aug-cc-pCV5Z,Cl2,4.4432568305919995,4.51765790524393,4.465854999471833,4.498332147828987
aug-cc-pCV5Z,CO,1.8283832369848827,1.944306902089265,1.9080325195938201,1.9293649435854043
aug-cc-pCV5Z,CO2,2.356198656471468,2.6326866301026013,2.5419234946165035,2.579401877794974
aug-cc-pCV5Z,H2O,1.263892101792816,1.4318656465946755,1.3761420207306418,1.4084956826954373
