,SCF,Corr2,CorrD,CorrD(T),MP2,CCSD,CCSD(T)
56,8.068079143895222,-0.01997901163744202,-0.09812362631294008,-0.047204629567109406,8.04810013225778,7.949976505944839,8.00089550269067
93,7.296787031053703,0.045901509833105446,-0.07726965902376891,0.005179777177411576,7.342688540886808,7.265418881863039,7.3478683180642195
97,7.282798514318998,0.16239418396660418,-0.11265376724807734,-0.03230360720836207,7.445192698285602,7.332538931037525,7.41288909107724
103,7.06219720229631,-0.03333913817944019,-0.1025352955299902,-0.047647709197807295,7.02885806411687,6.926322768586879,6.981210354919062
112,8.54007322720406,0.28051819029992625,-0.23078144034919043,-0.03885136720780386,8.820591417503985,8.589809977154795,8.781740050296182
117,7.647416206611214,0.20324874923289657,-0.12241324540791872,-0.022749278021530372,7.850664955844111,7.728251710436192,7.82791567782258
119,9.14183546404052,-0.6294411334279706,-0.1252327692342358,-0.15184761135310293,8.51239433061255,8.387161561378313,8.360546719259446
129,12.374135052858389,0.5364418591869103,-0.24806640784282913,-0.06320273146856296,12.910576912045299,12.66251050420247,12.847374180576736
142,5.9901342580020325,0.0009828488728225134,-0.10342057853486608,-0.05479830621383334,5.991117106874855,5.887696528339989,5.936318800661021
158,2.5791137569727245,0.06458464738322946,-0.02497196002343648,0.015767154754086358,2.643698404355954,2.6187264443325176,2.6594655591100405
159,8.8338120193624,0.6976641437724942,-0.23521723317053606,-0.0534683573834678,9.531476163134894,9.296258929964358,9.478007805751426
205,7.160565994466951,-0.22244275511439782,-0.13332118404305546,-0.03131069474295523,6.938123239352553,6.804802055309498,6.906812544609598
213,10.279333055515158,0.24513595474686936,-0.1626928280084998,-0.0329544250663278,10.524469010262028,10.361776182253529,10.4915145851957
223,6.09336355365879,-0.0052361042782365416,-0.027631943102890914,0.053164602531615646,6.088127449380553,6.060495506277662,6.141292051912169
245,8.066734212538485,0.7101519674631648,-0.24519695165079425,-0.0645432172177791,8.77688618000165,8.531689228350857,8.712342962783872
256,7.347697565147906,0.6931215910311262,-0.2553147814717281,-0.09481221861874138,8.040819156179033,7.785504374707305,7.946006937560292
257,7.406881566823884,0.5718820024263042,-0.2508611191746589,-0.09839334969662783,7.978763569250188,7.727902450075529,7.88037021955356
267,12.913334670175644,0.8191465760897261,-0.33333110780309666,-0.11439957172092186,13.732481246265369,13.399150138462272,13.618081674544447
276,10.366280878546066,-0.2804120223754811,-0.19819055192773902,-0.13730158493696523,10.085868856170585,9.887678304242845,9.94856727123362
281,8.106053525114234,-0.05572571698679194,-0.10650451217432304,-0.02980755050032454,8.050327808127442,7.943823295953119,8.020520257627117
282,9.518262121948096,0.1655891062922292,-0.16108100625605665,-0.06196948270841468,9.683851228240325,9.522770221984269,9.62188174553191
287,9.71014624454075,0.4041551415895719,-0.21904528356305883,-0.0603300289711677,10.114301386130322,9.895256102567263,10.053971357159154
306,8.468911649420603,0.5193595581193857,-0.2220105952056958,-0.09037967670234082,8.988271207539988,8.766260612334293,8.897891530837647
318,8.412525176036025,0.28692989809112335,-0.211896013278732,-0.09891654424832337,8.69945507412715,8.487559060848417,8.600538529878825
332,6.3713983085081205,0.4971228702611534,-0.1736994535707772,-0.05246421280974849,6.868521178769274,6.694821725198497,6.816056965959526
336,7.024372039624122,0.5070863087493693,-0.1399809333566049,-0.017956024179715542,7.531458348373492,7.391477415016887,7.513502324193776
342,9.67386171534032,0.2624766625896956,-0.23201956115349032,-0.0558146161975566,9.936338377930017,9.704318816776526,9.88052376173246
346,14.78606507716175,0.27485870183041583,-0.3583925255703573,-0.10869316483960567,15.060923778992166,14.702531253421808,14.95223061415256
351,4.0309920758058935,0.21608309078177151,-0.08769264136202656,-0.032164259250395545,4.247075166587665,4.159382525225639,4.21491090733727
353,2.357742237623869,0.1374740254436434,-0.05031521776459107,-0.017845577611771166,2.4952162630675123,2.444901045302921,2.477370685455741
361,10.990906536493569,-0.40661689068540574,-0.17250520244383216,-0.13399505082011318,10.584289645808163,10.411784443364331,10.45029459498805
381,15.176030105178556,0.6724199572473291,-0.3024755394403788,-0.06853868998364919,15.848450062425886,15.545974522985508,15.779911372442237
390,12.190608561330194,-0.25377642925773336,-0.4117016483785231,-0.12479687380738706,11.93683213207246,11.525130483693937,11.812035258265073
393,5.387959545069556,0.004794453155153519,-0.09241602934432018,0.008217742594900523,5.39275399822471,5.30033796888039,5.40097174081961
397,11.22931295683956,0.7122606511147719,-0.30161275134894916,-0.08780755969316772,11.941573607954332,11.639960856605382,11.853766048261164
399,4.456392910521532,0.30047223688653946,-0.10303176228236474,-0.004605740522107598,4.756865147408072,4.653833385125707,4.7522594068859645
425,8.45839358355853,0.21404643165328416,-0.1831007348730942,-0.09203537803722066,8.672440015211814,8.48933928033872,8.580404637174594
438,7.661540364221576,0.3176674446147033,-0.13581973736699227,-0.012043257070195742,7.9792078088362794,7.843388071469287,7.967164551766084
445,7.87829156329813,0.674668178117492,-0.23949054222031166,-0.08191429444815225,8.552959741415622,8.31346919919531,8.47104544696747
460,13.716909345012567,0.7765871636376096,-0.3255107931721109,-0.0743263333383934,14.493496508650177,14.167985715478066,14.419170175311784
470,5.06760839147186,0.13926379919054332,-0.07232932328156827,-0.004677495693321339,5.206872190662404,5.134542867380835,5.202194694969083
489,9.08468971195225,0.6466822652582218,-0.28344387974264906,-0.1074452877553553,9.731371977210472,9.447928097467823,9.623926689455116
