,,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,low rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,high rung,WFT,WFT,WFT,WFT,WFT,WFT,WFT,WFT,WFT,WFT,WFT,WFT
,,B3LYP,B3LYP,B3LYP,BLYP,BLYP,BLYP,CAMB3LYP,CAMB3LYP,CAMB3LYP,M06,M06,M06,M06-2X,M06-2X,M06-2X,M06-L,M06-L,M06-L,M11,M11,M11,MN15,MN15,MN15,MPW1K,MPW1K,MPW1K,MPW91,MPW91,MPW91,MVS,MVS,MVS,N12,N12,N12,PBE,PBE,PBE,PBE0,PBE0,PBE0,PBE50,PBE50,PBE50,SCAN,SCAN,SCAN,SCAN0,SCAN0,SCAN0,TPSS,TPSS,TPSS,TPSSh,TPSSh,TPSSh,mBEEF,mBEEF,mBEEF,ωB97M-V,ωB97M-V,ωB97M-V,B2GPPLYP,B2GPPLYP,B2GPPLYP,B2PLYP,B2PLYP,B2PLYP,DSD-BLYP-D3BJ,DSD-BLYP-D3BJ,DSD-BLYP-D3BJ,DSD-PBEP86-D3BJ,DSD-PBEP86-D3BJ,DSD-PBEP86-D3BJ,DSD-PBEPBE-D3BJ,DSD-PBEPBE-D3BJ,DSD-PBEPBE-D3BJ,LS1DH-PBE,LS1DH-PBE,LS1DH-PBE,PBE-CIDH,PBE-CIDH,PBE-CIDH,PBE0-2,PBE0-2,PBE0-2,PBE0-DH,PBE0-DH,PBE0-DH,PBE-QIDH,PBE-QIDH,PBE-QIDH,PTPSS,PTPSS,PTPSS,RS-B88-LYP,RS-B88-LYP,RS-B88-LYP,RS-PBE-P86,RS-PBE-P86,RS-PBE-P86,RS-PBE-PBE,RS-PBE-PBE,RS-PBE-PBE,RS-PW91-PW91,RS-PW91-PW91,RS-PW91-PW91,RSX-0DH,RSX-0DH,RSX-0DH,RSX-QIDH,RSX-QIDH,RSX-QIDH,SOS-PBE-QIDH,SOS-PBE-QIDH,SOS-PBE-QIDH,SOS-PBE0-DH,SOS-PBE0-DH,SOS-PBE0-DH,SOS-RSX-0DH,SOS-RSX-0DH,SOS-RSX-0DH,SOS-RSX-QIDH,SOS-RSX-QIDH,SOS-RSX-QIDH,TPSS-CIDH,TPSS-CIDH,TPSS-CIDH,TPSS-QIDH,TPSS-QIDH,TPSS-QIDH,TPSS0-DH,TPSS0-DH,TPSS0-DH,ωB2GPPLYP,ωB2GPPLYP,ωB2GPPLYP,ωB2PLYP,ωB2PLYP,ωB2PLYP,ωB88PP86,ωB88PP86,ωB88PP86,ωPBEPP86,ωPBEPP86,ωPBEPP86,lrc-XYG3,lrc-XYG3,lrc-XYG3,mPW2PLYP,mPW2PLYP,mPW2PLYP,revPBE0-DH,revPBE0-DH,revPBE0-DH,ωB97X-2-TQZ,ωB97X-2-TQZ,ωB97X-2-TQZ,xDH-PBE0,xDH-PBE0,xDH-PBE0,XYG3,XYG3,XYG3,XYGJ-OS,XYGJ-OS,XYGJ-OS,revXYGJ-OS,revXYGJ-OS,revXYGJ-OS,XYG-OS5,XYG-OS5,XYG-OS5,revXYG3,revXYG3,revXYG3,XYG5,XYG5,XYG5,XYG6,XYG6,XYG6,XYG7,XYG7,XYG7,HF,HF,HF,MP2,MP2,MP2,CCSD,CCSD,CCSD,CCSD(T),CCSD(T),CCSD(T)
,,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz,xx,yy,zz
HH101 (NSP),AlF,6.156,6.156,5.412,6.224,6.224,5.669,6.113,6.113,5.315,5.951,5.951,5.11,5.945,5.945,5.142,6.108,6.108,5.282,6.219,6.219,5.326,6.321,6.321,5.394,6.21,6.21,5.191,6.25,6.25,5.603,6.452,6.452,5.291,6.374,6.374,5.595,6.292,6.292,5.656,6.248,6.248,5.378,6.237,6.237,5.162,6.31,6.31,5.411,6.255,6.255,5.243,6.381,6.381,5.598,6.358,6.358,5.493,6.309,6.309,5.397,6.084,6.084,5.343,6.0698947,6.0698947,5.2472877,6.08095698,6.08095698,5.30913103,6.05939621,6.05939621,5.23606219,6.11625114,6.11625114,5.26285669,6.1032738,6.1032738,5.23036188,6.11290064,6.11290064,5.16969829,6.16211188,6.16211188,5.20153912,6.09832727,6.09832727,5.17042983,6.17200906,6.17200906,5.21502877,6.12971939,6.12971939,5.17264526,6.06477068,6.06477068,5.26288784,6.03842311,6.03842311,5.13211141,6.03522657,6.03522657,5.11166049,6.06765125,6.06765125,5.12536494,6.05665854,6.05665854,5.11532084,6.13580267,6.13580267,5.09197299,6.12436582,6.12436582,5.120278,6.11398398,6.11398398,5.13227281,6.16353328,6.16353328,5.19563236,6.13195633,6.13195633,5.07855385,6.11242475,6.11242475,5.08694316,6.2134173,6.2134173,5.18656157,6.16335548,6.16335548,5.16232015,6.22949512,6.22949512,5.19837804,6.06757012,6.06757012,5.19408208,6.06149279,6.06149279,5.20983544,6.11000179,6.11000179,5.24747063,6.05695648,6.05695648,5.20146006,6.04345009,6.04345009,5.21973187,6.08705071,6.08705071,5.2909675,6.2375931,6.2375931,5.24253156,6.17023627,6.17023627,5.2880681,6.04362978,6.04362978,5.16033248,6.033586840728,6.033586840728,5.208999935762001,6.023539660494,6.023539660494,5.1757078834,5.986461578517,5.986461578517,5.1634649814790015,5.985376801545,5.985376801545,5.141292804377,6.0125704526620005,6.0125704526620005,5.184065747050001,6.026872331895,6.026872331895,5.204032080533001,6.030215007260001,6.030215007260001,5.196261061516001,6.143742473842001,6.143742473842001,5.277529704604001,6.511,6.511,5.101,6.05,6.05,5.237,5.993,5.993,5.056,5.971,5.971,5.132
HH101 (NSP),Ar,1.728,1.728,1.728,1.797,1.797,1.797,1.712,1.712,1.712,1.703,1.703,1.703,1.671,1.671,1.671,1.691,1.691,1.691,1.697,1.697,1.697,1.659,1.659,1.659,1.641,1.641,1.641,1.757,1.757,1.757,1.634,1.634,1.634,1.69,1.69,1.69,1.769,1.769,1.769,1.693,1.693,1.693,1.629,1.629,1.629,1.688,1.688,1.688,1.653,1.653,1.653,1.732,1.732,1.732,1.706,1.706,1.706,1.656,1.656,1.656,1.73,1.73,1.73,1.66779447,1.66779447,1.66779447,1.68791086,1.68791086,1.68791086,1.66409457,1.66409457,1.66409457,1.66864657,1.66864657,1.66864657,1.65935927,1.65935927,1.65935927,1.63048528,1.63048528,1.63048528,1.64212493,1.64212493,1.64212493,1.63084803,1.63084803,1.63084803,1.64730524,1.64730524,1.64730524,1.63154081,1.63154081,1.63154081,1.67634169,1.67634169,1.67634169,1.63576122,1.63576122,1.63576122,1.62478031,1.62478031,1.62478031,1.62376455,1.62376455,1.62376455,1.6215,1.6215,1.6215,1.62269972,1.62269972,1.62269972,1.62166907,1.62166907,1.62166907,1.63135633,1.63135633,1.63135633,1.64724041,1.64724041,1.64724041,1.62262478,1.62262478,1.62262478,1.6216705,1.6216705,1.6216705,1.62887672,1.62887672,1.62887672,1.62279541,1.62279541,1.62279541,1.63241,1.63241,1.63241,1.65889393,1.65889393,1.65889393,1.67071553,1.67071553,1.67071553,1.65805664,1.65805664,1.65805664,1.64128889,1.64128889,1.64128889,1.63426125,1.63426125,1.63426125,1.6825809,1.6825809,1.6825809,1.6482809,1.6482809,1.6482809,1.68465985,1.68465985,1.68465985,1.62645335,1.62645335,1.62645335,1.6329144093190002,1.6329144093190002,1.6329144093190002,1.6449831839630005,1.6449831839630005,1.6449831839630005,1.636715371873,1.636715371873,1.636715371873,1.629745208996,1.629745208996,1.629745208996,1.6159371681000003,1.6159371681000003,1.6159371681000003,1.6275857410060002,1.6275857410060002,1.6275857410060002,1.627244993831,1.627244993831,1.627244993831,1.657649651939,1.657649651939,1.657649651939,1.589,1.589,1.589,1.638,1.638,1.638,1.619,1.619,1.619,1.634,1.634,1.634
HH101 (NSP),BF,3.185,3.185,2.823,3.29,3.29,2.996,3.155,3.155,2.774,3.147,3.147,2.753,3.09,3.09,2.698,3.12,3.12,2.729,3.076,3.076,2.657,3.165,3.165,2.756,3.082,3.082,2.646,3.248,3.248,2.947,3.151,3.151,2.704,3.244,3.244,2.9,3.271,3.271,2.974,3.159,3.159,2.78,3.071,3.071,2.617,3.195,3.195,2.798,3.127,3.127,2.69,3.192,3.192,2.871,3.158,3.158,2.806,3.147,3.147,2.772,3.183,3.183,2.821,3.09309878,3.09309878,2.72436907,3.11997876,3.11997876,2.76863171,3.08595751,3.08595751,2.720491,3.10260139,3.10260139,2.73443716,3.08165102,3.08165102,2.71876743,3.05641768,3.05641768,2.66117831,3.07786452,3.07786452,2.67500781,3.05495159,3.05495159,2.66474265,3.08588734,3.08588734,2.68325766,3.05998928,3.05998928,2.65980609,3.09202108,3.09202108,2.74724799,3.0489791,3.0489791,2.64124127,3.03913707,3.03913707,2.62999878,3.04418631,3.04418631,2.6329829,3.03906766,3.03906766,2.62697628,3.05393534,3.05393534,2.61392914,3.05414321,3.05414321,2.63024041,3.04601096,3.04601096,2.64157485,3.07942193,3.07942193,2.6750023,3.04894545,3.04894545,2.6072235,3.04154074,3.04154074,2.61439176,3.05499312,3.05499312,2.6418575,3.04521405,3.04521405,2.63802723,3.05996017,3.05996017,2.64594775,3.09046664,3.09046664,2.694649,3.10360196,3.10360196,2.71278509,3.10992023,3.10992023,2.72713914,3.08273216,3.08273216,2.70463437,3.03845993,3.03845993,2.69417676,3.11461792,3.11461792,2.7527469,3.08927954,3.08927954,2.68796031,3.10721005,3.10721005,2.73892044,3.01300531,3.01300531,2.68150737,3.034475560829,3.034475560829,2.690271379454,3.044607016143,3.044607016143,2.699051120594,3.0211213460099997,3.0211213460099997,2.699022230988,3.0195471857409992,3.0195471857409992,2.6887797829449998,3.00764410385,3.00764410385,2.672831047314,3.025408540526,3.025408540526,2.697129678106,3.026725416302,3.026725416302,2.6953688002180005,3.090111898464999,3.090111898464999,2.737026979017,3.07,3.07,2.478,3.072,3.072,2.713,2.939,2.939,2.624,2.95,2.95,2.686
HH101 (NSP),BH2Cl,3.668,4.203,5.684,3.773,4.34,5.916,3.641,4.158,5.576,3.63,4.084,5.571,3.594,4.097,5.505,3.558,4.026,5.548,3.648,4.266,5.619,3.606,4.172,5.578,3.54,4.043,5.43,3.722,4.278,5.861,3.522,4.047,5.474,3.641,4.187,5.72,3.743,4.302,5.893,3.627,4.15,5.622,3.522,4.02,5.383,3.628,4.16,5.656,3.572,4.085,5.502,3.665,4.207,5.754,3.627,4.158,5.662,3.561,4.11,5.564,3.698,4.22,5.625,3.57975084,4.08908303,5.52012379,3.61005729,4.12802865,5.58895608,3.57590869,4.08231514,5.51165764,3.5941229,4.09993579,5.5362657,3.57395029,4.07675032,5.51571947,3.52755809,4.02453702,5.43023355,3.54341251,4.04676692,5.46280359,3.52904335,4.02522263,5.43208708,3.55112916,4.0565691,5.47739735,3.52824162,4.02652168,5.43222407,3.59320987,4.11142985,5.58244942,3.53372434,4.02555717,5.4218766,3.51606131,4.00687346,5.40358821,3.51649663,4.00636616,5.40354477,3.51213276,4.00162501,5.39689735,3.50924881,3.99737906,5.3441159,3.5126709,4.00282084,5.36894594,3.52461376,4.01917076,5.41005991,3.54971835,4.05322571,5.4682532,3.50781033,3.99471061,5.33635046,3.5092993,3.99648939,5.35008389,3.51350831,4.01482702,5.41198032,3.50844333,4.00615209,5.39877097,3.51757331,4.02033778,5.42032843,3.56669219,4.06628271,5.44913896,3.5822374,4.084109,5.47044062,3.58303911,4.0849955,5.51050387,3.55888687,4.05789296,5.48767631,3.5363084,4.03854923,5.48421996,3.60215566,4.11714321,5.55982599,3.54878591,4.05473466,5.46864308,3.60285359,4.10012243,5.51733095,3.5249856,4.01768298,5.47840848,3.5302152017239994,4.031456654241,5.471531618652,3.558852955412,4.0566933853250005,5.511917865221999,3.5469057762779994,4.040969257821001,5.503135090624001,3.5431347937759994,4.034849442247,5.504224752521001,3.506645958565,4.002454429888,5.4428292989,3.531969856476,4.028960468302,5.483785447672,3.534488117691,4.030497863717,5.4894204896000005,3.5897723247119995,4.090415844680001,5.543418870941,3.468,3.951,5.119,3.562,4.056,5.48,3.517,4.008,5.385,3.548,4.044,5.488
HH101 (NSP),BH2F,2.163,2.772,2.718,2.247,2.89,2.86,2.157,2.744,2.693,2.141,2.647,2.633,2.1,2.676,2.6,2.14,2.681,2.67,2.121,2.856,2.679,2.148,2.808,2.693,2.081,2.653,2.576,2.236,2.865,2.84,2.12,2.71,2.637,2.191,2.809,2.756,2.254,2.885,2.86,2.154,2.747,2.692,2.067,2.633,2.549,2.173,2.775,2.729,2.111,2.694,2.622,2.189,2.8,2.783,2.157,2.755,2.724,2.155,2.769,2.706,2.195,2.787,2.721,2.09856146,2.67744277,2.63980629,2.12326392,2.71111191,2.67936376,2.09520947,2.67121892,2.63686926,2.11234902,2.68812092,2.65287036,2.10453782,2.67573371,2.6446382,2.07325932,2.6371359,2.59350321,2.09073406,2.66070018,2.60816818,2.07248403,2.63589586,2.59541125,2.09738309,2.66958485,2.6154162,2.07577531,2.64067884,2.59345182,2.12452401,2.71074439,2.68300585,2.06247001,2.62217154,2.58303097,2.06051316,2.61759513,2.57898856,2.06198341,2.61815696,2.57958622,2.05824017,2.6139154,2.57506028,2.08220069,2.6338297,2.57308269,2.07240394,2.62784213,2.57448679,2.0700957,2.63129161,2.579649,2.09493805,2.66522222,2.60913818,2.07988847,2.6301977,2.56786153,2.06717719,2.61950266,2.56276372,2.06883823,2.63540579,2.58105829,2.06163792,2.62520956,2.57564433,2.07262453,2.64055292,2.58495935,2.09720904,2.66497292,2.61936066,2.11531326,2.6847778,2.64200059,2.11849816,2.68878693,2.65398729,2.10398089,2.66968413,2.63958367,2.07035463,2.63815742,2.62724292,2.11426825,2.69928526,2.65976392,2.09587214,2.66929517,2.61329085,2.12438173,2.69013141,2.66885103,2.0772668,2.63345853,2.63480056,2.068625070195,2.635641164878999,2.624898894209,2.0903821554490003,2.654284054414999,2.641254799857,2.080886235328,2.639941145072,2.641825665378,2.084512561797,2.6402695365289994,2.6434062184719997,2.053564908888,2.613795009597,2.6149533015939994,2.071549388156999,2.6337369223559994,2.6365353293529994,2.075389979159,2.6364473954909995,2.639497389175,2.108233317667,2.6771449742849995,2.665521483466,1.977,2.536,2.381,2.085,2.651,2.626,2.061,2.62,2.567,2.083,2.648,2.62
HH101 (NSP),BH3,2.851,2.851,2.17,2.941,2.941,2.228,2.83,2.83,2.17,2.713,2.713,2.158,2.771,2.771,2.129,2.703,2.703,2.135,2.946,2.946,2.154,2.895,2.895,2.175,2.759,2.759,2.116,2.92,2.92,2.225,2.781,2.781,2.129,2.904,2.904,2.208,2.942,2.942,2.242,2.836,2.836,2.171,2.747,2.747,2.109,2.846,2.846,2.169,2.791,2.791,2.132,2.853,2.853,2.173,2.823,2.823,2.153,2.827,2.827,2.152,2.864,2.864,2.208,2.75548099,2.75542068,2.10723662,2.78424674,2.78418706,2.12658913,2.74700157,2.74694079,2.10254335,2.76534835,2.76528765,2.12333295,2.75179748,2.75174003,2.11421781,2.72437801,2.72432093,2.09303776,2.75458467,2.75452789,2.11518541,2.72042241,2.72036522,2.08995605,2.76427626,2.7642195,2.12211024,2.73084785,2.73079088,2.0979231,2.78053961,2.78047794,2.12823353,2.70698316,2.70692481,2.07959931,2.70371084,2.70365318,2.07983281,2.70500028,2.70494267,2.08227444,2.70113745,2.70108115,2.07883241,2.73879544,2.73873857,2.11917752,2.72521044,2.72515302,2.1021002,2.7227954,2.72273792,2.09465192,2.76081613,2.76075903,2.12091761,2.73573081,2.73567397,2.11774207,2.71759758,2.71754024,2.09860936,2.72669498,2.72663853,2.09115865,2.71356736,2.71351068,2.08257615,2.73238671,2.73233018,2.09486353,2.75300398,2.75294466,2.11512391,2.77196268,2.77190359,2.13219711,2.77257704,2.77251871,2.13258356,2.75340786,2.75334751,2.1184795,2.71028473,2.7102318,2.07663029,2.77902466,2.77896765,2.12274949,2.76064542,2.76058947,2.11848683,2.75223853,2.7521867,2.12104076,2.70219635,2.70212729,2.08510351,2.7073962336360005,2.707343370523001,2.074940457294,2.732957075619,2.732903251992,2.103265280725,2.712990190084001,2.712938204555,2.089380639272999,2.7162429661710004,2.7161898331189995,2.09691198291,2.6814105677900004,2.6813589834840004,2.057873983662,2.702131420581,2.702079285353,2.076412207911,2.705652440822,2.705599914801,2.081637531871,2.750507736092,2.750451979263,2.11683616968,2.676,2.676,2.046,2.722,2.722,2.088,2.717,2.717,2.089,2.73,2.73,2.099
HH101 (NSP),BHF2,2.134,2.706,2.624,2.243,2.88,2.783,2.122,2.678,2.593,2.104,2.646,2.522,2.049,2.567,2.504,2.122,2.688,2.568,2.065,2.594,2.594,2.102,2.643,2.605,2.025,2.533,2.463,2.225,2.855,2.75,2.083,2.62,2.538,2.151,2.734,2.646,2.244,2.879,2.772,2.114,2.671,2.585,2.005,2.499,2.433,2.149,2.705,2.63,2.064,2.575,2.513,2.185,2.801,2.697,2.139,2.725,2.631,2.13,2.688,2.617,2.16,2.705,2.632,2.0682433,2.6224693,2.53681691,2.09768723,2.66860751,2.57808197,2.06636551,2.62049634,2.53400274,2.08174301,2.63433839,2.54694424,2.07303229,2.62685559,2.53583064,2.03274126,2.5661794,2.48201805,2.04503851,2.57740522,2.49432074,2.03438859,2.57005927,2.48531639,2.05130609,2.58464768,2.50176666,2.03274333,2.56412675,2.48064682,2.09799449,2.67229505,2.5756607,2.02553859,2.56067846,2.47539588,2.02178466,2.55614278,2.46883336,2.02221156,2.55574108,2.46830182,2.018243,2.55088951,2.46375579,2.02536306,2.53509372,2.45234715,2.022569,2.54041469,2.45783233,2.0243573,2.54692842,2.46600046,2.04745968,2.57651858,2.49473465,2.02207149,2.52850758,2.44679082,2.01535446,2.52608758,2.44560971,2.02524254,2.55021721,2.47113028,2.01974836,2.54595098,2.46570472,2.02902362,2.55424064,2.4755322,2.05883575,2.59657107,2.51225513,2.07799862,2.62308889,2.53462734,2.08368592,2.63520166,2.54289059,2.06921308,2.62184901,2.52620818,2.04184173,2.61307796,2.50971852,2.08415237,2.64414909,2.55801552,2.05149202,2.5826502,2.50307755,2.10560567,2.66575294,2.57267113,2.04627849,2.61875387,2.50563018,2.040048743195,2.6108981030260003,2.507312548284,2.0548192861560004,2.6192752894240003,2.513396224111,2.04956705335,2.624589158669,2.5100655866679995,2.0496516955,2.623472620252,2.5060793032339994,2.027029295148,2.603236906279,2.4930051293619995,2.044212356909,2.623748228893,2.511045772192999,2.0466220909340005,2.625221633801,2.511648318792,2.0768098618730004,2.646774641211,2.542365860779,1.886,2.287,2.273,2.063,2.614,2.528,2.012,2.537,2.452,2.048,2.603,2.504
HH101 (NSP),BeH2,3.028,3.028,3.107,3.141,3.141,3.22,2.998,2.998,3.084,2.99,2.99,3.047,2.904,2.904,3.074,3.029,3.029,2.924,2.927,2.927,3.135,3.019,3.019,3.164,2.957,2.957,2.991,3.178,3.178,3.194,3.043,3.043,2.983,3.131,3.131,3.189,3.197,3.197,3.218,3.058,3.058,3.087,2.937,2.937,2.974,3.112,3.112,3.098,3.011,3.011,3.027,3.097,3.097,3.075,3.054,3.054,3.043,3.03,3.03,3.068,3.048,3.048,3.153,2.88915932,2.88915932,2.98223485,2.92829455,2.92829455,3.02013313,2.87958168,2.87958168,2.9724882,2.9252199,2.9252199,3.0014593,2.92319841,2.92319841,2.98951448,2.87966015,2.87966015,2.94067764,2.93553098,2.93553098,2.98190003,2.86980866,2.86980866,2.93474542,2.95145396,2.95145396,2.99465084,2.89359123,2.89359123,2.94992511,2.96348007,2.96348007,3.03694302,2.81687872,2.81687872,2.90532571,2.82034377,2.82034377,2.89857591,2.82730881,2.82730881,2.90076664,2.82177561,2.82177561,2.89676302,2.92426228,2.92426228,2.96558064,2.89264647,2.89264647,2.94571396,2.89548197,2.89548197,2.95478039,2.95303675,2.95303675,2.99752409,2.9240577,2.9240577,2.96649548,2.89252588,2.89252588,2.94838248,2.90393253,2.90393253,2.93693998,2.87360418,2.87360418,2.92257184,2.91550043,2.91550043,2.94299863,2.88832323,2.88832323,2.9811529,2.91370023,2.91370023,3.00664228,2.94172399,2.94172399,3.005085,2.91789647,2.91789647,2.98076447,2.82479405,2.82479405,2.93021995,2.91784511,2.91784511,3.01288612,2.94742906,2.94742906,2.98750371,2.90292387,2.90292387,2.96636117,2.87434744,2.87434744,2.95293168,2.821383326727,2.821383326727,2.927589458288,2.894943482327,2.894943482327,2.988298387211,2.861638755823,2.861638755823,2.972086246641,2.8837270743310004,2.8837270743310004,2.9753120685050005,2.785131913603,2.785131913603,2.895141087286,2.825880754723,2.825880754723,2.932561272523,2.841395194629,2.841395194629,2.9396359458530004,2.896806611042,2.896806611042,2.9817760674150007,2.791,2.791,2.883,2.851,2.851,2.931,2.903,2.903,2.965,2.913,2.913,2.974
